key,english,en,status
"base_language_label","Language","Language","untranslated"
"btn_save","Save","Save","untranslated"
"cancel","Cancel","Cancel","untranslated"
"col_actions","Actions","Actions","untranslated"
"col_created_at","Date","Date","untranslated"
"col_email","Email","Email","untranslated"
"col_invited_by","Invited by","Invited by","untranslated"
"col_jellyfin","Jellyfin","Jellyfin","untranslated"
"col_status","Status","Status","untranslated"
"col_username","User","User","untranslated"
"common_bad_request","Invalid request","Invalid request","untranslated"
"common_next","Next","Next","untranslated"
"common_previous","Previous","Previous","untranslated"
"common_server_error","Server error","Server error","untranslated"
"dashboard_heading","Dashboard","Dashboard","untranslated"
"dashboard_intro_title","Jellyfin Access Manager","Jellyfin Access Manager","untranslated"
"dashboard_my_account_title","Account","Account","untranslated"
"dashboard_no_users","No users yet","No users yet","untranslated"
"dashboard_open_my_account","Open My Account","Open My Account","untranslated"
"dashboard_panel_invites_title","Invitations","Invitations","untranslated"
"dashboard_panel_settings_title","Settings","Settings","untranslated"
"dashboard_panel_users_title","Users","Users","untranslated"
"dashboard_recent_users","Recent users","Recent users","untranslated"
"dashboard_stats_title","Pulse","Pulse","untranslated"
"dashboard_title","Dashboard","Dashboard","untranslated"
"dashboard_welcome","Welcome","Welcome","untranslated"
"failure","Failure","Failure","untranslated"
"field_display_name","Display name","Display name","untranslated"
"field_display_name_placeholder","E.g. John Doe","E.g. John Doe","untranslated"
"field_email","Email","Email","untranslated"
"field_email_placeholder","E.g. john@example.com","E.g. john@example.com","untranslated"
"field_email_required","Email","Email","untranslated"
"field_identifier","Email or username","Email or username","untranslated"
"field_identifier_placeholder","E.g. john_doe or john@example.com","E.g. john_doe or john@example.com","untranslated"
"field_new_password","New password","New password","untranslated"
"field_password","Password","Password","untranslated"
"field_password_confirm","Confirm password","Confirm password","untranslated"
"field_password_confirm_placeholder","Re-enter your password","Re-enter your password","untranslated"
"field_password_placeholder","Minimum 8 characters","Minimum 8 characters","untranslated"
"field_username","Username","Username","untranslated"
"field_username_help","3-32 characters: letters, numbers, dashes, underscores","3-32 characters: letters, numbers, dashes, underscores","untranslated"
"field_username_placeholder","E.g. john_doe","E.g. john_doe","untranslated"
"i18n_report_back_settings","Back to settings","Back to settings","untranslated"
"i18n_report_col_fallback","Fallback values","Fallback values","untranslated"
"i18n_report_col_locale","Locale","Locale","untranslated"
"i18n_report_col_missing_base","Missing vs base","Missing vs base","untranslated"
"i18n_report_col_missing_template","Missing template keys","Missing template keys","untranslated"
"i18n_report_col_placeholder","Placeholder mismatches","Placeholder mismatches","untranslated"
"i18n_report_col_total_keys","Total keys","Total keys","untranslated"
"i18n_report_intro","Checks template key coverage, placeholder consistency, and fallback values by locale.","Checks template key coverage, placeholder consistency, and fallback values by locale.","untranslated"
"i18n_report_load_error","Unable to load the i18n report.","Unable to load the i18n report.","untranslated"
"i18n_report_no_data","No data.","No data.","untranslated"
"i18n_report_title","i18n Report","i18n Report","untranslated"
"invitations_badge_active","Active","Active","untranslated"
"invitations_badge_expired","Expired","Expired","untranslated"
"invitations_col_email","Delivery","Delivery","untranslated"
"invitations_col_link_code","Invitation link","Invitation link","untranslated"
"invitations_col_link_expiry","Link expiry","Link expiry","untranslated"
"invitations_col_profile_expiry","Account policy","Account policy","untranslated"
"invitations_conversion_rate","Conversion rate","Conversion rate","untranslated"
"invitations_conversions","Conversions","Conversions","untranslated"
"invitations_copy","Copy","Copy","untranslated"
"invitations_copy_full_link","Copy full link","Copy full link","untranslated"
"invitations_copy_unavailable","Clipboard access is unavailable","Clipboard access is unavailable","untranslated"
"invitations_create_desc","Generate a reusable signup link, prefill account rules, and optionally send it by email.","Generate a reusable signup link, prefill account rules, and optionally send it by email.","untranslated"
"invitations_create_link","Create invitation","Create invitation","untranslated"
"invitations_create_title","Invitation flow","Invitation flow","untranslated"
"invitations_created","Invitation created","Invitation created","untranslated"
"invitations_default_policy","Default policy","Default policy","untranslated"
"invitations_delete","Delete","Delete","untranslated"
"invitations_delete_after_days","Delete account after {n} days","Delete account after {n} days","untranslated"
"invitations_delete_desc","This invitation will be removed permanently. Existing users created from it are not affected.","This invitation will be removed permanently. Existing users created from it are not affected.","untranslated"
"invitations_delete_title","Delete invitation","Delete invitation","untranslated"
"invitations_deleted","Invitation deleted","Invitation deleted","untranslated"
"invitations_disable_after_days","Disable account after {n} days","Disable account after {n} days","untranslated"
"invitations_email_manual","Email delivery","Email delivery","untranslated"
"invitations_error_loading","Unable to load invitations","Unable to load invitations","untranslated"
"invitations_expires_on","Expires on {date}","Expires on {date}","untranslated"
"invitations_forced_username","Reserved username","Reserved username","untranslated"
"invitations_forced_username_help","Optional. Lock the signup to a single username when you need a pre-assigned account.","Optional. Lock the signup to a single username when you need a pre-assigned account.","untranslated"
"invitations_forced_username_placeholder","Leave blank to let the user choose","Leave blank to let the user choose","untranslated"
"invitations_group_default","Default group","Default group","untranslated"
"invitations_group_prefix","Group: {group}","Group: {group}","untranslated"
"invitations_invalid_max_uses","Your current policy allows between 1 and {n} uses per link.","Your current policy allows between 1 and {n} uses per link.","untranslated"
"invitations_invalid_user_expiry","Choose a relative or absolute expiry before creating the invitation.","Choose a relative or absolute expiry before creating the invitation.","untranslated"
"invitations_invite_option_enabled_help","The invited account will be allowed to create invitations after signup.","The invited account will be allowed to create invitations after signup.","untranslated"
"invitations_invite_option_policy_limited","Your role cannot grant invite rights on new accounts.","Your role cannot grant invite rights on new accounts.","untranslated"
"invitations_last_link_label","Latest generated link","Latest generated link","untranslated"
"invitations_last_link_placeholder","The newest invitation URL will appear here","The newest invitation URL will appear here","untranslated"
"invitations_link_copied","Invitation link copied","Invitation link copied","untranslated"
"invitations_link_expires_label","Link expiry","Link expiry","untranslated"
"invitations_link_help_default","Leave empty to keep the link valid until it is used or revoked.","Leave empty to keep the link valid until it is used or revoked.","untranslated"
"invitations_link_help_limited","Your current policy recommends an expiry within the next {n} hours.","Your current policy recommends an expiry within the next {n} hours.","untranslated"
"invitations_links_active","Active links","Active links","untranslated"
"invitations_links_closed","Closed links","Closed links","untranslated"
"invitations_links_created","Links created","Links created","untranslated"
"invitations_max_uses_label","Maximum uses","Maximum uses","untranslated"
"invitations_new_invitation","New invitation","New invitation","untranslated"
"invitations_new_user_can_invite","Grant invite rights to the new account","Grant invite rights to the new account","untranslated"
"invitations_no_link_to_copy","There is no invitation link to copy yet.","There is no invitation link to copy yet.","untranslated"
"invitations_no_planned_delete","No deletion planned","No deletion planned","untranslated"
"invitations_none_active","No active invitations found.","No active invitations found.","untranslated"
"invitations_policy_base_links","Base URL: {url}","Base URL: {url}","untranslated"
"invitations_policy_expiry_locked","User expiry is locked by the active invitation policy.","User expiry is locked by the active invitation policy.","untranslated"
"invitations_policy_grant_locked","Invite rights are locked by the active invitation policy.","Invite rights are locked by the active invitation policy.","untranslated"
"invitations_policy_loading","Loading invitation policy...","Loading invitation policy...","untranslated"
"invitations_policy_max_ttl","Max link lifetime: {n}h","Max link lifetime: {n}h","untranslated"
"invitations_policy_max_uses","Max uses per link: {n}","Max uses per link: {n}","untranslated"
"invitations_policy_quota_day","Daily quota: {n}","Daily quota: {n}","untranslated"
"invitations_policy_quota_month","Monthly quota: {n}","Monthly quota: {n}","untranslated"
"invitations_policy_quota_week","Weekly quota: {n}","Weekly quota: {n}","untranslated"
"invitations_rate","Rate","Rate","untranslated"
"invitations_role_can_invite","can invite others","can invite others","untranslated"
"invitations_role_standard","standard account","standard account","untranslated"
"invitations_section_link_settings","Link settings","Link settings","untranslated"
"invitations_section_smtp_notification","Email delivery","Email delivery","untranslated"
"invitations_section_user_profile","Future account rules","Future account rules","untranslated"
"invitations_send_to_email_help","Optional. If SMTP is configured, JellyGate sends the invitation immediately.","Optional. If SMTP is configured, JellyGate sends the invitation immediately.","untranslated"
"invitations_send_to_email_label","Send invitation to","Send invitation to","untranslated"
"invitations_sponsor","Sponsor","Sponsor","untranslated"
"invitations_sponsor_dashboard","Sponsor activity","Sponsor activity","untranslated"
"invitations_sponsor_no_data","No sponsor activity available yet.","No sponsor activity available yet.","untranslated"
"invitations_stats_error","Unable to load sponsor statistics","Unable to load sponsor statistics","untranslated"
"invitations_stats_loading","Loading sponsor statistics...","Loading sponsor statistics...","untranslated"
"invitations_stats_updated_at","Updated {at}","Updated {at}","untranslated"
"invitations_subheading","Create invitation links, monitor sponsor activity, and keep onboarding rules consistent.","Create invitation links, monitor sponsor activity, and keep onboarding rules consistent.","untranslated"
"invitations_unknown_error","An unexpected error occurred","An unexpected error occurred","untranslated"
"invitations_unknown_sponsor","(unknown)","(unknown)","untranslated"
"invitations_unlimited","Unlimited","Unlimited","untranslated"
"invitations_user_expiry_absolute","Absolute account expiry","Absolute account expiry","untranslated"
"invitations_user_expiry_absolute_help","Optional. Set a fixed expiry date instead of a relative delay.","Optional. Set a fixed expiry date instead of a relative delay.","untranslated"
"invitations_user_expiry_days_help","Apply a relative expiry window once the invited account is created.","Apply a relative expiry window once the invited account is created.","untranslated"
"invitations_user_expiry_enable","Set an expiry policy for the invited account","Set an expiry policy for the invited account","untranslated"
"invitations_user_expiry_future","The absolute expiry must be in the future.","The absolute expiry must be in the future.","untranslated"
"invitations_uses","Uses","Uses","untranslated"
"invitations_uses_help_default","Use 0 for unlimited redemptions.","Use 0 for unlimited redemptions.","untranslated"
"invitations_uses_help_limited","Your current policy allows between 1 and {n} redemptions.","Your current policy allows between 1 and {n} redemptions.","untranslated"
"invite_error_config","Invitation configuration error","Invitation configuration error","untranslated"
"invite_error_email_verification_unavailable","Email verification is enabled, but email sending is unavailable right now.","Email verification is enabled, but email sending is unavailable right now.","untranslated"
"invite_error_invalid_or_expired","Invalid or expired invitation","Invalid or expired invitation","untranslated"
"invite_error_jellyfin_create","Error while creating the account (Jellyfin)","Error while creating the account (Jellyfin)","untranslated"
"invite_error_ldap_create","Error while creating the account (LDAP)","Error while creating the account (LDAP)","untranslated"
"invite_error_persist","Error while saving the account","Error while saving the account","untranslated"
"invite_footer","Powered by JellyGate","Powered by JellyGate","untranslated"
"invite_heading","Create your account","Create your account","untranslated"
"invite_login_jellyfin","Sign in to Jellyfin","Sign in to Jellyfin","untranslated"
"invite_open_jellyseerr","Open Jellyseerr","Open Jellyseerr","untranslated"
"invite_open_jellytrack","Open jellytrack","Open jellytrack","untranslated"
"invite_quick_links","Quick links","Quick links","untranslated"
"invite_subheading","Fill in the form to join the media library","Fill in the form to join the media library","untranslated"
"invite_submit","Create my account","Create my account","untranslated"
"invite_success_hybrid","Welcome {username}! Your account was created in Jellyfin and in LDAP.","Welcome {username}! Your account was created in Jellyfin and in LDAP.","untranslated"
"invite_success_ldap_only","Welcome {username}! Your account was created in LDAP. Jellyfin access will use your LDAP integration.","Welcome {username}! Your account was created in LDAP. Jellyfin access will use your LDAP integration.","untranslated"
"invite_success_pending_verification","Check your email to confirm the creation of account {username}. Your account will be created only after this confirmation.","Check your email to confirm the creation of account {username}. Your account will be created only after this confirmation.","untranslated"
"invite_title","Sign Up","Sign Up","untranslated"
"login_error_forbidden","You are not an administrator","You are not an administrator","untranslated"
"login_error_invalid","Invalid credentials","Invalid credentials","untranslated"
"login_error_required","Enter both your username and password.","Enter both your username and password.","untranslated"
"login_forgot_password","Forgot password?","Forgot password?","untranslated"
"login_jellyfin_desc","Media library access","Media library access","untranslated"
"login_jellyseerr_desc","Browse and request content","Browse and request content","untranslated"
"login_jellytrack_desc","Playback statistics tracking","Playback statistics tracking","untranslated"
"login_shortcuts","Shortcuts","Shortcuts","untranslated"
"login_subheading","Administration","Administration","untranslated"
"login_submit","Sign in","Sign in","untranslated"
"login_title","Login","Login","untranslated"
"logs_col_action","Action","Action","untranslated"
"logs_col_actor","Actor","Actor","untranslated"
"logs_col_details","Details","Details","untranslated"
"logs_col_target","Target","Target","untranslated"
"logs_load_error","Unable to load audit logs","Unable to load audit logs","untranslated"
"logs_loading","Loading audit logs...","Loading audit logs...","untranslated"
"logs_network_error","Network error while loading audit logs","Network error while loading audit logs","untranslated"
"logs_no_results","No audit events match the current filters.","No audit events match the current filters.","untranslated"
"logs_no_results_short","No matching events","No matching events","untranslated"
"logs_of_label","of","of","untranslated"
"logs_page_label","Page","Page","untranslated"
"logs_pagination_loading","Loading pagination...","Loading pagination...","untranslated"
"logs_per_page_suffix","per page","per page","untranslated"
"logs_search_placeholder","Search actions, actors, targets, details, or request IDs","Search actions, actors, targets, details, or request IDs","untranslated"
"logs_system_actor","System","System","untranslated"
"logs_total_label","Total","Total","untranslated"
"my_account_channel_discord","Discord","Discord","untranslated"
"my_account_channel_email","Email","Email","untranslated"
"my_account_channel_optin","Delivery channels","Delivery channels","untranslated"
"my_account_channel_telegram","Telegram","Telegram","untranslated"
"my_account_contact_help","Update contact information and notification preferences.","Update contact information and notification preferences.","untranslated"
"my_account_default_server_lang","Use the server default language","Use the server default language","untranslated"
"my_account_edit_profile","Edit profile","Edit profile","untranslated"
"my_account_email_pending_label","Pending email:","Pending email:","untranslated"
"my_account_email_status_missing","No email configured","No email configured","untranslated"
"my_account_email_status_pending","Pending verification","Pending verification","untranslated"
"my_account_email_status_unverified","Verification required","Verification required","untranslated"
"my_account_email_status_verified","Verified","Verified","untranslated"
"my_account_email_verification_help","Confirm this email address to receive account messages and recovery links.","Confirm this email address to receive account messages and recovery links.","untranslated"
"my_account_email_verification_label","Email verification","Email verification","untranslated"
"my_account_email_verification_missing","Add an email address to enable verification and password recovery.","Add an email address to enable verification and password recovery.","untranslated"
"my_account_email_verification_ok","Your current email address is verified.","Your current email address is verified.","untranslated"
"my_account_email_verification_pending","Check your inbox and click the confirmation link sent to the pending address.","Check your inbox and click the confirmation link sent to the pending address.","untranslated"
"my_account_email_verification_resend","Resend verification email","Resend verification email","untranslated"
"my_account_email_verification_send_error","Unable to send a verification email","Unable to send a verification email","untranslated"
"my_account_email_verification_sent","A verification email has been sent.","A verification email has been sent.","untranslated"
"my_account_label_access_expiry","Access expiry","Access expiry","untranslated"
"my_account_label_confirm_password","Confirm new password","Confirm new password","untranslated"
"my_account_label_discord","Discord handle","Discord handle","untranslated"
"my_account_label_email","Email address","Email address","untranslated"
"my_account_label_new_password","New password","New password","untranslated"
"my_account_label_preferred_lang","Preferred language","Preferred language","untranslated"
"my_account_label_role","Role","Role","untranslated"
"my_account_label_telegram","Telegram handle","Telegram handle","untranslated"
"my_account_label_user","Username","Username","untranslated"
"my_account_load_error","Unable to load your account","Unable to load your account","untranslated"
"my_account_no_expiry","No expiry configured","No expiry configured","untranslated"
"my_account_notify_events","Notify me about account events","Notify me about account events","untranslated"
"my_account_notify_expiry","Notify me before access expires","Notify me before access expires","untranslated"
"my_account_password_help","Change your password. Choose a strong password (min. 8 characters).","Change your password. Choose a strong password (min. 8 characters).","untranslated"
"my_account_password_min_hint","At least 8 characters","At least 8 characters","untranslated"
"my_account_password_mismatch","The passwords do not match","The passwords do not match","untranslated"
"my_account_password_too_short","The password must contain at least 8 characters","The password must contain at least 8 characters","untranslated"
"my_account_password_update_error","Unable to update the password","Unable to update the password","untranslated"
"my_account_password_updated","Password updated","Password updated","untranslated"
"my_account_save_error","Unable to save your preferences","Unable to save your preferences","untranslated"
"my_account_save_preferences","Save preferences","Save preferences","untranslated"
"my_account_saved","Preferences saved","Preferences saved","untranslated"
"my_account_section_contact","Contact and preferences","Contact and preferences","untranslated"
"my_account_section_password","Password","Password","untranslated"
"my_account_section_profile","Profile summary","Profile summary","untranslated"
"my_account_subheading","Keep your contact details, delivery channels, language, and password up to date.","Keep your contact details, delivery channels, language, and password up to date.","untranslated"
"my_account_subtitle","Manage your profile and preferences","Manage your profile and preferences","untranslated"
"my_account_update_password","Update password","Update password","untranslated"
"nav_automation","Automation","Automation","untranslated"
"nav_dashboard","Dashboard","Dashboard","untranslated"
"nav_invitations","Invitations","Invitations","untranslated"
"nav_logout","Sign out","Sign out","untranslated"
"nav_logs","Logs","Logs","untranslated"
"nav_my_account","My Account","My Account","untranslated"
"nav_settings","Settings","Settings","untranslated"
"nav_theme","Theme","Theme","untranslated"
"nav_users","Users","Users","untranslated"
"password_match","Passwords match","Passwords match","untranslated"
"password_mismatch","Passwords do not match","Passwords do not match","untranslated"
"password_policy_missing","Missing requirements","Missing requirements","untranslated"
"password_policy_ok","Password rules satisfied","Password rules satisfied","untranslated"
"password_rule_at_least","at least {n} characters","at least {n} characters","untranslated"
"password_rule_at_most","at most {n} characters","at most {n} characters","untranslated"
"password_rule_digit","one digit","one digit","untranslated"
"password_rule_lower","one lowercase letter","one lowercase letter","untranslated"
"password_rule_special","one special character","one special character","untranslated"
"password_rule_upper","one uppercase letter","one uppercase letter","untranslated"
"password_rules_chars","characters","characters","untranslated"
"password_rules_prefix","Rules:","Rules:","untranslated"
"reset_new_heading","New password","New password","untranslated"
"reset_new_subheading","Choose a new secure password","Choose a new secure password","untranslated"
"reset_request_heading","Forgot password","Forgot password","untranslated"
"reset_request_subheading","Enter your identifier to receive a reset link","Enter your identifier to receive a reset link","untranslated"
"reset_request_submit","Send reset link","Send reset link","untranslated"
"reset_submit","Reset password","Reset password","untranslated"
"reset_title","Password Reset","Password Reset","untranslated"
"role_admin","Administrator","Administrator","untranslated"
"role_user","User","User","untranslated"
"settings_backup_action_delete","Delete","Delete","untranslated"
"settings_backup_action_export","Export","Export","untranslated"
"settings_backup_action_restore","Restore","Restore","untranslated"
"settings_backup_archives_desc","Restoration is prepared then applied on next JellyGate restart.","Restoration is prepared then applied on next JellyGate restart.","untranslated"
"settings_backup_archives_title","Available archives","Available archives","untranslated"
"settings_backup_col_actions","Actions","Actions","untranslated"
"settings_backup_col_archive","Archive","Archive","untranslated"
"settings_backup_col_date","Date","Date","untranslated"
"settings_backup_col_size","Size","Size","untranslated"
"settings_backup_create_now","Create backup now","Create backup now","untranslated"
"settings_backup_created","Backup created","Backup created","untranslated"
"settings_backup_daily_time","Daily execution time","Daily execution time","untranslated"
"settings_backup_delete_confirm_prefix","Delete permanently","Delete permanently","untranslated"
"settings_backup_delete_error","Delete failed","Delete failed","untranslated"
"settings_backup_deleted","Backup deleted","Backup deleted","untranslated"
"settings_backup_desc","Configure automatic backups, create manual backups, import archives, and prepare a restoration.","Configure automatic backups, create manual backups, import archives, and prepare a restoration.","untranslated"
"settings_backup_enable_auto","Enable automatic backups","Enable automatic backups","untranslated"
"settings_backup_error","Backup error","Backup error","untranslated"
"settings_backup_import_btn","Import","Import","untranslated"
"settings_backup_import_desc","Import a ZIP archive into JellyGate for later restoration. Export/Delete actions remain available below.","Import a ZIP archive into JellyGate for later restoration. Export/Delete actions remain available below.","untranslated"
"settings_backup_import_error","Import failed","Import failed","untranslated"
"settings_backup_import_title","Import a backup","Import a backup","untranslated"
"settings_backup_imported","Backup imported","Backup imported","untranslated"
"settings_backup_list_empty","No backup available.","No backup available.","untranslated"
"settings_backup_list_load_error","Unable to load backups.","Unable to load backups.","untranslated"
"settings_backup_list_pg_unavailable","PostgreSQL mode: SQLite archives are unavailable. Use pg_dump/pg_restore.","PostgreSQL mode: SQLite archives are unavailable. Use pg_dump/pg_restore.","untranslated"
"settings_backup_manual_desc","Create an exportable ZIP archive (SQLite DB + settings + templates).","Create an exportable ZIP archive (SQLite DB + settings + templates).","untranslated"
"settings_backup_manual_title","Manual backup","Manual backup","untranslated"
"settings_backup_pg_mode_desc_1","Native JellyGate ZIP backups (SQLite) are disabled.","Native JellyGate ZIP backups (SQLite) are disabled.","untranslated"
"settings_backup_pg_mode_desc_2","Use pg_dump and pg_restore for PostgreSQL.","Use pg_dump and pg_restore for PostgreSQL.","untranslated"
"settings_backup_pg_mode_title","PostgreSQL mode detected","PostgreSQL mode detected","untranslated"
"settings_backup_pg_not_supported","Action not supported in PostgreSQL mode","Action not supported in PostgreSQL mode","untranslated"
"settings_backup_pg_plan_unavailable","Local backup scheduler unavailable in PostgreSQL mode (use pg_dump/pg_restore)","Local backup scheduler unavailable in PostgreSQL mode (use pg_dump/pg_restore)","untranslated"
"settings_backup_restore_confirm_prefix","Prepare restoration for","Prepare restoration for","untranslated"
"settings_backup_restore_confirm_suffix","A restart is required.","A restart is required.","untranslated"
"settings_backup_restore_error","Restore failed","Restore failed","untranslated"
"settings_backup_restore_ready","Restoration prepared. Restart JellyGate.","Restoration prepared. Restart JellyGate.","untranslated"
"settings_backup_retention_fixed","Backups kept (fixed)","Backups kept (fixed)","untranslated"
"settings_backup_retention_help","JellyGate automatically keeps the latest 7 backups (including imports).","JellyGate automatically keeps the latest 7 backups (including imports).","untranslated"
"settings_backup_save_schedule","Save backup schedule","Save backup schedule","untranslated"
"settings_backup_select_zip","Select a .zip file","Select a .zip file","untranslated"
"settings_backup_title","Backups and restoration","Backups and restoration","untranslated"
"settings_default_lang","Server default language","Server default language","untranslated"
"settings_default_lang_help","Language used when the user has no preference set","Language used when the user has no preference set","untranslated"
"settings_default_none","Default (none)","Default (none)","untranslated"
"settings_email_base_desc","This shared shell contains the HTML used by all emails. Simple message content is inserted automatically between these two blocks.","This shared shell contains the HTML used by all emails. Simple message content is inserted automatically between these two blocks.","untranslated"
"settings_email_base_footer","Base template: HTML footer","Base template: HTML footer","untranslated"
"settings_email_base_header","Base template: HTML header","Base template: HTML header","untranslated"
"settings_email_base_live_preview_desc","The render updates automatically while you edit the header or footer.","The render updates automatically while you edit the header or footer.","untranslated"
"settings_email_base_live_preview_title","Live base preview","Live base preview","untranslated"
"settings_email_base_preview","Preview base template","Preview base template","untranslated"
"settings_email_base_preview_demo","You received an invitation to join the Jellyfin server.

The button and direct link appear automatically below this message.","You received an invitation to join the Jellyfin server.

The button and direct link appear automatically below this message.","untranslated"
"settings_email_base_preview_desc","This preview shows the shared shell with a simple message and the standard automatic blocks.","This preview shows the shared shell with a simple message and the standard automatic blocks.","untranslated"
"settings_email_base_restore","Restore default base","Restore default base","untranslated"
"settings_email_base_title","Shared base template","Shared base template","untranslated"
"settings_email_base_variables_title","Advanced variables for the base template","Advanced variables for the base template","untranslated"
"settings_email_body_mode_desc","The editors below are no-code: plain text only, with support for variables such as {{.Username}}, {{.Email}}, or {{.ExpiryDate}}. Buttons, links, and system dates are added automatically in the final render.","The editors below are no-code: plain text only, with support for variables such as {{.Username}}, {{.Email}}, or {{.ExpiryDate}}. Buttons, links, and system dates are added automatically in the final render.","untranslated"
"settings_email_body_mode_title","Simple messages without markup","Simple messages without markup","untranslated"
"settings_email_delivery_desc","Enable only the emails or sections that JellyGate should send automatically.","Enable only the emails or sections that JellyGate should send automatically.","untranslated"
"settings_email_delivery_title","Optional messages","Optional messages","untranslated"
"settings_email_preview_close_aria","Close preview","Close preview","untranslated"
"settings_email_preview_desc","Preview the final render with the shared email wrapper and demonstration values.","Preview the final render with the shared email wrapper and demonstration values.","untranslated"
"settings_email_preview_title","Email template preview","Email template preview","untranslated"
"settings_email_reminder_days","N days before expiry","N days before expiry","untranslated"
