key,english,it,status
"automation_task_builder_title","Build a scheduled task","Crea un'attivitÃ  pianificata","ok"
"automation_task_create_failed","Unable to create task.","Attivita crea fallito","ok"
"automation_task_created","Task created.","Attivita creato","ok"
"automation_task_delete_confirm","Delete this task?","Attivita elimina conferma","ok"
"automation_task_delete_failed","Unable to delete task.","Attivita elimina fallito","ok"
"automation_task_deleted","Task deleted.","Attivita eliminato","ok"
"automation_task_enabled","Enabled","Attivita abilitato","ok"
"automation_task_hour_placeholder","Hour (0-23)","Attivita ora segnaposto","ok"
"automation_task_minute_placeholder","Minute (0-59)","Attivita minuto segnaposto","ok"
"automation_task_name_placeholder","Task name","Attivita nome segnaposto","ok"
"automation_task_payload_empty","No payload","Nessun payload","ok"
"automation_task_payload_placeholder","JSON payload (optional)","Attivita payload segnaposto","ok"
"automation_task_payload_ready","Payload ready","Payload pronto","ok"
"automation_task_preview_empty","Fill the form to preview the schedule and execution state.","Compila il modulo per visualizzare in anteprima pianificazione e stato di esecuzione.","ok"
"automation_task_preview_title","Task preview","Anteprima attivitÃ ","ok"
"automation_task_run_failed","Task execution failed.","Attivita esecuzione fallito","ok"
"automation_task_run_success","Task started.","Attivita esecuzione successo","ok"
"automation_task_update_failed","Unable to update task.","Attivita aggiornamento fallito","ok"
"automation_tasks_desc","Create recurring jobs, then verify the schedule and payload before saving.","Crea attivitÃ  ricorrenti e verifica pianificazione e payload prima di salvare.","ok"
"automation_tasks_title","Scheduled tasks","Attivita pianificate","ok"
"automation_type_cleanup_resets_desc","Remove expired password reset requests to keep the recovery flow clean.","Rimuovi le richieste di reimpostazione password scadute per mantenere pulito il flusso di recupero.","ok"
"automation_type_create_backup_desc","Create a fresh backup snapshot for restore or audit purposes.","Crea una nuova istantanea di backup per ripristino o verifica.","ok"
"automation_type_sync_users_desc","Sync local users with Jellyfin or directory state to keep access consistent.","Sincronizza gli utenti locali con Jellyfin o con lo stato della directory per mantenere coerente l'accesso.","ok"
"back_to_login","Back to login","Torna al login","ok"
"base_language_label","Language","Lingua","ok"
"btn_save","Save","Salva","ok"
"cancel","Cancel","Annulla","ok"
"col_actions","Actions","Azioni","ok"
"col_created_at","Date","Data","ok"
"col_email","Email","E-mail","ok"
"col_invited_by","Invited by","Invitato da","ok"
"col_jellyfin","Jellyfin","Jellyfin","untranslated"
"col_status","Status","Stato","ok"
"col_username","User","Utente","ok"
"common_bad_request","Invalid request","Richiesta non valida","ok"
"common_next","Next","Avanti","ok"
"common_previous","Previous","Precedente","ok"
"common_server_error","Server error","Errore del server","ok"
"dashboard_heading","Dashboard","Panoramica","ok"
"dashboard_intro_title","Jellyfin Access Manager","Gestore accesso Jellyfin","ok"
"dashboard_my_account_title","Account","Il mio account","ok"
"dashboard_no_users","No users yet","Nessun utente presente","ok"
"dashboard_open_my_account","Open My Account","Apri il mio account","ok"
"dashboard_panel_invites_title","Invitations","Inviti","ok"
"dashboard_panel_settings_title","Settings","Impostazioni","ok"
"dashboard_panel_users_title","Users","Utenti","ok"
"dashboard_recent_users","Recent users","Utenti recenti","ok"
"dashboard_stats_title","Pulse","Attività","ok"
"dashboard_title","Dashboard","Panoramica","ok"
"dashboard_welcome","Welcome","Benvenuto","ok"
"failure","Failure","Errore","ok"
"field_display_name","Display name","Nome visualizzato","ok"
"field_display_name_placeholder","E.g. John Doe","Es.: John Doe","ok"
"field_email","Email","E-mail","ok"
"field_email_placeholder","E.g. john@example.com","Es.: john@example.com","ok"
"field_email_required","Email","E-mail","ok"
"field_identifier","Email or username","E-mail o nome utente","ok"
"field_identifier_placeholder","E.g. john_doe or john@example.com","Es.: john_doe o john@example.com","ok"
"field_new_password","New password","Nuova password","ok"
"field_password","Password","Password","untranslated"
"field_password_confirm","Confirm password","Conferma password","ok"
"field_password_confirm_placeholder","Re-enter your password","Inserisci di nuovo la password","ok"
"field_password_placeholder","Minimum 8 characters","Minimo 8 caratteri","ok"
"field_username","Username","Nome utente","ok"
"field_username_help","3-32 characters: letters, numbers, dashes, underscores","3-32 caratteri: lettere, numeri, trattini e underscore","ok"
"field_username_placeholder","E.g. john_doe","Es.: john_doe","ok"
"i18n_report_back_settings","Back to settings","Torna alle impostazioni","ok"
"i18n_report_col_fallback","Fallback values","Valori di fallback","ok"
"i18n_report_col_locale","Locale","Lingua","ok"
"i18n_report_col_missing_base","Missing vs base","Mancanti rispetto alla base","ok"
"i18n_report_col_missing_template","Missing template keys","Chiavi template mancanti","ok"
"i18n_report_col_placeholder","Placeholder mismatches","Segnaposto non coerenti","ok"
"i18n_report_col_total_keys","Total keys","Chiavi totali","ok"
"i18n_report_intro","Checks template key coverage, placeholder consistency, and fallback values by locale.","Controlla la copertura delle chiavi dei template, la coerenza dei segnaposto e i valori di fallback per ogni lingua.","ok"
"i18n_report_load_error","Unable to load the i18n report.","Impossibile caricare il rapporto i18n.","ok"
"i18n_report_no_data","No data.","Nessun dato.","ok"
"i18n_report_title","i18n Report","Rapporto i18n","ok"
"invitations_badge_active","Active","Attivo","ok"
"invitations_badge_expired","Expired","Scaduto","ok"
"invitations_col_email","Delivery","Invio","ok"
"invitations_col_link_code","Invitation link","Link di invito","ok"
"invitations_col_link_expiry","Link expiry","Scadenza del link","ok"
"invitations_col_profile_expiry","Account policy","Politica account","ok"
"invitations_conversion_rate","Conversion rate","Tasso di conversione","ok"
"invitations_conversions","Conversions","Conversioni","ok"
"invitations_copy","Copy","Copia","ok"
"invitations_copy_full_link","Copy full link","Copia link completo","ok"
"invitations_copy_unavailable","Clipboard access is unavailable","Appunti non disponibili","ok"
"invitations_create_desc","Generate a reusable signup link, prefill account rules, and optionally send it by email.","Genera un link di registrazione riutilizzabile, preconfigura le regole dell account e invialo via e-mail se necessario.","ok"
"invitations_create_link","Create invitation","Crea invito","ok"
"invitations_create_title","Invitation flow","Flusso inviti","ok"
"invitations_created","Invitation created","Invito creato","ok"
"invitations_default_policy","Default policy","Politica predefinita","ok"
"invitations_delete","Delete","Elimina","ok"
"invitations_delete_after_days","Delete account after {n} days","Elimina l account dopo {n} giorni","ok"
"invitations_delete_desc","This invitation will be removed permanently. Existing users created from it are not affected.","Questo invito verra rimosso definitivamente. Gli utenti gia creati da esso non saranno interessati.","ok"
"invitations_delete_title","Delete invitation","Elimina invito","ok"
"invitations_deleted","Invitation deleted","Invito eliminato","ok"
"invitations_disable_after_days","Disable account after {n} days","Disattiva l account dopo {n} giorni","ok"
"invitations_email_manual","Email delivery","Invio e-mail","ok"
"invitations_error_loading","Unable to load invitations","Impossibile caricare gli inviti","ok"
"invitations_expires_on","Expires on {date}","Scade il {date}","ok"
"invitations_forced_username","Reserved username","Nome utente riservato","ok"
"invitations_forced_username_help","Optional. Lock the signup to a single username when you need a pre-assigned account.","Opzionale. Blocca la registrazione su un solo nome utente quando devi preparare un account gia assegnato.","ok"
"invitations_forced_username_placeholder","Leave blank to let the user choose","Lascia vuoto per lasciare scegliere l utente","ok"
"invitations_group_default","Default group","Gruppo predefinito","ok"
"invitations_group_prefix","Group: {group}","Gruppo: {group}","ok"
"invitations_invalid_max_uses","Your current policy allows between 1 and {n} uses per link.","La tua politica attuale consente tra 1 e {n} utilizzi per link.","ok"
"invitations_invalid_user_expiry","Choose a relative or absolute expiry before creating the invitation.","Scegli una scadenza relativa o assoluta prima di creare l invito.","ok"
"invitations_invite_option_enabled_help","The invited account will be allowed to create invitations after signup.","L account invitato potra creare inviti dopo la registrazione.","ok"
"invitations_invite_option_policy_limited","Your role cannot grant invite rights on new accounts.","Il tuo ruolo non puo concedere diritti di invito ai nuovi account.","ok"
"invitations_last_link_label","Latest generated link","Ultimo link generato","ok"
"invitations_last_link_placeholder","The newest invitation URL will appear here","L ultima URL di invito apparira qui","ok"
"invitations_link_copied","Invitation link copied","Link di invito copiato","ok"
"invitations_link_expires_label","Link expiry","Scadenza del link","ok"
"invitations_link_help_default","Leave empty to keep the link valid until it is used or revoked.","Lascialo vuoto per mantenere valido il link fino all uso o alla revoca.","ok"
"invitations_link_help_limited","Your current policy recommends an expiry within the next {n} hours.","La tua politica attuale consiglia una scadenza entro le prossime {n} ore.","ok"
"invitations_links_active","Active links","Link attivi","ok"
"invitations_links_closed","Closed links","Link chiusi","ok"
"invitations_links_created","Links created","Link creati","ok"
"invitations_max_uses_label","Maximum uses","Numero massimo di utilizzi","ok"
"invitations_new_invitation","New invitation","Nuovo invito","ok"
"invitations_new_user_can_invite","Grant invite rights to the new account","Consenti al nuovo account di invitare","ok"
"invitations_no_link_to_copy","There is no invitation link to copy yet.","Nessun link di invito da copiare al momento.","ok"
"invitations_no_planned_delete","No deletion planned","Nessuna eliminazione pianificata","ok"
"invitations_none_active","No active invitations found.","Nessun invito attivo trovato.","ok"
"invitations_policy_base_links","Base URL: {url}","URL di base: {url}","ok"
"invitations_policy_expiry_locked","User expiry is locked by the active invitation policy.","La scadenza dell utente e bloccata dalla politica di invito attiva.","ok"
"invitations_policy_grant_locked","Invite rights are locked by the active invitation policy.","I diritti di invito sono bloccati dalla politica di invito attiva.","ok"
"invitations_policy_loading","Loading invitation policy...","Caricamento della politica di invito...","ok"
"invitations_policy_max_ttl","Max link lifetime: {n}h","Durata massima del link: {n}h","ok"
"invitations_policy_max_uses","Max uses per link: {n}","Utilizzi massimi per link: {n}","ok"
"invitations_policy_quota_day","Daily quota: {n}","Quota giornaliera: {n}","ok"
"invitations_policy_quota_month","Monthly quota: {n}","Quota mensile: {n}","ok"
"invitations_policy_quota_week","Weekly quota: {n}","Quota settimanale: {n}","ok"
"invitations_rate","Rate","Tasso","ok"
"invitations_role_can_invite","can invite others","puo invitare","ok"
"invitations_role_standard","standard account","account standard","ok"
"invitations_section_link_settings","Link settings","Impostazioni del link","ok"
"invitations_section_smtp_notification","Email delivery","Invio e-mail","ok"
"invitations_section_user_profile","Future account rules","Regole del futuro account","ok"
"invitations_send_to_email_help","Optional. If SMTP is configured, JellyGate sends the invitation immediately.","Opzionale. Se SMTP e configurato, JellyGate invia subito l invito.","ok"
"invitations_send_to_email_label","Send invitation to","Invia invito a","ok"
"invitations_sponsor","Sponsor","Sponsor","untranslated"
"invitations_sponsor_dashboard","Sponsor activity","Attivita sponsor","ok"
"invitations_sponsor_no_data","No sponsor activity available yet.","Nessuna attivita sponsor disponibile al momento.","ok"
"invitations_stats_error","Unable to load sponsor statistics","Impossibile caricare le statistiche sponsor","ok"
"invitations_stats_loading","Loading sponsor statistics...","Caricamento delle statistiche sponsor...","ok"
"invitations_stats_updated_at","Updated {at}","Aggiornato {at}","ok"
"invitations_subheading","Create invitation links, monitor sponsor activity, and keep onboarding rules consistent.","Crea link di invito, monitora l attivita degli sponsor e mantieni coerenti le regole di onboarding.","ok"
"invitations_unknown_error","An unexpected error occurred","Si e verificato un errore imprevisto","ok"
"invitations_unknown_sponsor","(unknown)","(sconosciuto)","ok"
"invitations_unlimited","Unlimited","Illimitato","ok"
"invitations_user_expiry_absolute","Absolute account expiry","Scadenza assoluta dell account","ok"
"invitations_user_expiry_absolute_help","Optional. Set a fixed expiry date instead of a relative delay.","Opzionale. Imposta una data di scadenza fissa invece di un ritardo relativo.","ok"
"invitations_user_expiry_days_help","Apply a relative expiry window once the invited account is created.","Applica una finestra di scadenza relativa una volta creato l account invitato.","ok"
"invitations_user_expiry_enable","Set an expiry policy for the invited account","Definisci una politica di scadenza per l account invitato","ok"
"invitations_user_expiry_future","The absolute expiry must be in the future.","La data di scadenza assoluta deve essere nel futuro.","ok"
"invitations_uses","Uses","Utilizzi","ok"
"invitations_uses_help_default","Use 0 for unlimited redemptions.","Usa 0 per riscatti illimitati.","ok"
"invitations_uses_help_limited","Your current policy allows between 1 and {n} redemptions.","La tua politica attuale consente tra 1 e {n} riscatti.","ok"
"invite_error_config","Invitation configuration error","Errore di configurazione dell invito","ok"
"invite_error_email_verification_unavailable","Email verification is enabled, but email sending is unavailable right now.","La verifica email e attiva, ma l invio delle email non e disponibile al momento.","ok"
"invite_error_invalid_or_expired","Invalid or expired invitation","Invito non valido o scaduto","ok"
"invite_error_jellyfin_create","Error while creating the account (Jellyfin)","Errore durante la creazione dell account (Jellyfin)","ok"
"invite_error_ldap_create","Error while creating the account (LDAP)","Errore durante la creazione dell account (LDAP)","ok"
"invite_error_persist","Error while saving the account","Errore durante il salvataggio dell account","ok"
"invite_footer","Powered by JellyGate","Offerto da JellyGate","ok"
"invite_heading","Create your account","Crea il tuo account","ok"
"invite_login_jellyfin","Sign in to Jellyfin","Accedi a Jellyfin","ok"
"invite_open_jellyseerr","Open Jellyseerr","Apri Jellyseerr","ok"
"invite_open_jellytrack","Open jellytrack","Apri jellytrack","ok"
"invite_quick_links","Quick links","Collegamenti rapidi","ok"
"invite_subheading","Fill in the form to join the media library","Compila il modulo per unirti alla libreria multimediale","ok"
"invite_submit","Create my account","Crea il mio account","ok"
"invite_success_hybrid","Welcome {username}! Your account was created in Jellyfin and in LDAP.","Benvenuto {username}. Il tuo account e stato creato in Jellyfin e in LDAP.","ok"
"invite_success_ldap_only","Welcome {username}! Your account was created in LDAP. Jellyfin access will use your LDAP integration.","Benvenuto {username}. Il tuo account e stato creato in LDAP. L accesso a Jellyfin usera la tua integrazione LDAP.","ok"
"invite_success_pending_verification","Check your email to confirm the creation of account {username}. Your account will be created only after this confirmation.","Controlla la tua email per confermare la creazione dell account {username}. L account verra creato solo dopo questa conferma.","ok"
"invite_title","Sign Up","Registrazione","ok"
"login_error_forbidden","You are not an administrator","Non sei un amministratore","ok"
"login_error_invalid","Invalid credentials","Credenziali non valide","ok"
"login_error_required","Enter both your username and password.","Inserisci sia il nome utente sia la password.","ok"
"login_forgot_password","Forgot password?","Password dimenticata?","ok"
"login_jellyfin_desc","Media library access","Accesso libreria","ok"
"login_jellyseerr_desc","Browse and request content","Richiedi contenuto","ok"
"login_jellytrack_desc","Playback statistics tracking","Statistiche","ok"
"login_shortcuts","Shortcuts","Scorciatoie","ok"
"login_subheading","Administration","Amministrazione","ok"
"login_submit","Sign in","Accedi","ok"
"login_title","Login","Accesso","ok"
"logs_col_action","Action","Azione","ok"
"logs_col_actor","Actor","Autore","ok"
"logs_col_details","Details","Dettagli","ok"
"logs_col_target","Target","Destinazione","ok"
"logs_load_error","Unable to load audit logs","Impossibile caricare i log di audit","ok"
"logs_loading","Loading audit logs...","Caricamento dei log di audit...","ok"
"logs_network_error","Network error while loading audit logs","Errore di rete durante il caricamento dei log di audit","ok"
"logs_no_results","No audit events match the current filters.","Nessun evento di audit corrisponde ai filtri correnti.","ok"
"logs_no_results_short","No matching events","Nessun evento corrispondente","ok"
"logs_of_label","of","di","ok"
"logs_page_label","Page","Pagina","ok"
"logs_pagination_loading","Loading pagination...","Caricamento della paginazione...","ok"
"logs_per_page_suffix","per page","per pagina","ok"
"logs_search_placeholder","Search actions, actors, targets, details, or request IDs","Cerca azioni, autori, destinazioni, dettagli o request_id","ok"
"logs_system_actor","System","Sistema","ok"
"logs_total_label","Total","Totale","ok"
"my_account_channel_discord","Discord","Discord","untranslated"
"my_account_channel_email","Email","E-mail","ok"
"my_account_channel_optin","Delivery channels","Canali di consegna","ok"
"my_account_channel_telegram","Telegram","Telegram","untranslated"
"my_account_contact_help","Update contact information and notification preferences.","Aggiorna le informazioni di contatto e le preferenze di notifica.","ok"
"my_account_default_server_lang","Use the server default language","Usa la lingua predefinita del server","ok"
"my_account_edit_profile","Edit profile","Modifica profilo","ok"
"my_account_email_pending_label","Pending email:","E-mail in attesa:","ok"
"my_account_email_status_missing","No email configured","Nessuna e-mail configurata","ok"
"my_account_email_status_pending","Pending verification","Verifica in attesa","ok"
"my_account_email_status_unverified","Verification required","Verifica richiesta","ok"
"my_account_email_status_verified","Verified","Verificata","ok"
"my_account_email_verification_help","Confirm this email address to receive account messages and recovery links.","Conferma questa e-mail per ricevere i messaggi dell account e i link di recupero.","ok"
"my_account_email_verification_label","Email verification","Verifica e-mail","ok"
"my_account_email_verification_missing","Add an email address to enable verification and password recovery.","Aggiungi un indirizzo e-mail per attivare la verifica e il recupero password.","ok"
"my_account_email_verification_ok","Your current email address is verified.","Il tuo indirizzo e-mail attuale e verificato.","ok"
"my_account_email_verification_pending","Check your inbox and click the confirmation link sent to the pending address.","Controlla la posta in arrivo e apri il link inviato all indirizzo in attesa.","ok"
"my_account_email_verification_resend","Resend verification email","Invia di nuovo l e-mail di verifica","ok"
"my_account_email_verification_send_error","Unable to send a verification email","Impossibile inviare l e-mail di verifica","ok"
"my_account_email_verification_sent","A verification email has been sent.","E stata inviata un e-mail di verifica.","ok"
"my_account_label_access_expiry","Access expiry","Scadenza accesso","ok"
"my_account_label_confirm_password","Confirm new password","Conferma nuova password","ok"
"my_account_label_discord","Discord handle","Handle Discord","ok"
"my_account_label_email","Email address","Indirizzo e-mail","ok"
"my_account_label_new_password","New password","Nuova password","ok"
"my_account_label_preferred_lang","Preferred language","Lingua preferita","ok"
"my_account_label_role","Role","Ruolo","ok"
"my_account_label_telegram","Telegram handle","Handle Telegram","ok"
"my_account_label_user","Username","Nome utente","ok"
"my_account_load_error","Unable to load your account","Impossibile caricare il tuo account","ok"
"my_account_no_expiry","No expiry configured","Nessuna scadenza configurata","ok"
"my_account_notify_events","Notify me about account events","Avvisami degli eventi dell account","ok"
"my_account_notify_expiry","Notify me before access expires","Avvisami prima della scadenza dell accesso","ok"
"my_account_password_help","Change your password. Choose a strong password (min. 8 characters).","Cambia la password. Scegli una password sicura (min. 8 caratteri).","ok"
"my_account_password_min_hint","At least 8 characters","Almeno 8 caratteri","ok"
"my_account_password_mismatch","The passwords do not match","Le password non corrispondono","ok"
"my_account_password_too_short","The password must contain at least 8 characters","La password deve contenere almeno 8 caratteri","ok"
"my_account_password_update_error","Unable to update the password","Impossibile aggiornare la password","ok"
"my_account_password_updated","Password updated","Password aggiornata","ok"
"my_account_save_error","Unable to save your preferences","Impossibile salvare le tue preferenze","ok"
"my_account_save_preferences","Save preferences","Salva preferenze","ok"
"my_account_saved","Preferences saved","Preferenze salvate","ok"
"my_account_section_contact","Contact and preferences","Contatti e preferenze","ok"
"my_account_section_password","Password","Password","untranslated"
"my_account_section_profile","Profile summary","Riepilogo profilo","ok"
"my_account_subheading","Keep your contact details, delivery channels, language, and password up to date.","Mantieni aggiornati contatti, canali di consegna, lingua e password.","ok"
"my_account_subtitle","Manage your profile and preferences","Gestisci il tuo profilo e le preferenze","ok"
"my_account_update_password","Update password","Aggiorna password","ok"
"nav_automation","Automation","Automazione","ok"
"nav_dashboard","Dashboard","Panoramica","ok"
"nav_invitations","Invitations","Inviti","ok"
"nav_logout","Sign out","Esci","ok"
"nav_logs","Logs","Log","ok"
"nav_my_account","My Account","Il mio account","ok"
"nav_settings","Settings","Impostazioni","ok"
"nav_theme","Theme","Tema","ok"
"nav_users","Users","Utenti","ok"
"password_match","Passwords match","Le password corrispondono","ok"
"password_mismatch","Passwords do not match","Le password non corrispondono","ok"
"password_policy_missing","Missing requirements","Requisiti mancanti","ok"
"password_policy_ok","Password rules satisfied","Regole della password rispettate","ok"
"password_rule_at_least","at least {n} characters","almeno {n} caratteri","ok"
"password_rule_at_most","at most {n} characters","al massimo {n} caratteri","ok"
"password_rule_digit","one digit","una cifra","ok"
"password_rule_lower","one lowercase letter","una lettera minuscola","ok"
"password_rule_special","one special character","un carattere speciale","ok"
"password_rule_upper","one uppercase letter","una lettera maiuscola","ok"
"password_rules_chars","characters","caratteri","ok"
"password_rules_prefix","Rules:","Regole:","ok"
"reset_new_heading","New password","Nuova password","ok"
"reset_new_subheading","Choose a new secure password","Scegli una nuova password sicura","ok"
"reset_request_heading","Forgot password","Password dimenticata","ok"
"reset_request_subheading","Enter your identifier to receive a reset link","Inserisci il tuo identificatore per ricevere un link di reimpostazione","ok"
"reset_request_submit","Send reset link","Invia il link","ok"
"reset_submit","Reset password","Reimposta password","ok"
"reset_title","Password Reset","Reimposta password","ok"
"role_admin","Administrator","Amministratore","ok"
"role_user","User","Utente","ok"
"settings_backup_action_delete","Delete","Elimina","ok"
"settings_backup_action_export","Export","Esporta","ok"
"settings_backup_action_restore","Restore","Ripristina","ok"
"settings_backup_archives_desc","Restoration is prepared then applied on next JellyGate restart.","Backup Archives Desc","ok"
"settings_backup_archives_title","Available archives","Backup Archives Title","ok"
"settings_backup_col_actions","Actions","Backup Col Actions","ok"
"settings_backup_col_archive","Archive","Backup Col Archive","ok"
"settings_backup_col_date","Date","Backup Col Date","ok"
"settings_backup_col_size","Size","Backup Col Size","ok"
"settings_backup_create_now","Create backup now","Backup Create Now","ok"
"settings_backup_created","Backup created","Backup creato","ok"
"settings_backup_daily_time","Daily execution time","Backup Daily Time","ok"
"settings_backup_delete_confirm_prefix","Delete permanently","Elimina definitivamente","ok"
"settings_backup_delete_error","Delete failed","Eliminazione non riuscita","ok"
"settings_backup_deleted","Backup deleted","Backup eliminato","ok"
"settings_backup_desc","Configure automatic backups, create manual backups, import archives, and prepare a restoration.","Backup Desc","ok"
"settings_backup_enable_auto","Enable automatic backups","Backup Enable Auto","ok"
"settings_backup_error","Backup error","Errore di backup","ok"
"settings_backup_import_btn","Import","Backup Import Btn","ok"
"settings_backup_import_desc","Import a ZIP archive into JellyGate for later restoration. Export/Delete actions remain available below.","Backup Import Desc","ok"
"settings_backup_import_error","Import failed","Importazione non riuscita","ok"
"settings_backup_import_title","Import a backup","Backup Import Title","ok"
"settings_backup_imported","Backup imported","Backup importato","ok"
"settings_backup_list_empty","No backup available.","Backup List Empty","ok"
"settings_backup_list_load_error","Unable to load backups.","Backup List Load Error","ok"
"settings_backup_list_pg_unavailable","PostgreSQL mode: SQLite archives are unavailable. Use pg_dump/pg_restore.","Backup List Pg Unavailable","ok"
"settings_backup_manual_desc","Create an exportable ZIP archive (SQLite DB + settings + templates).","Backup Manual Desc","ok"
"settings_backup_manual_title","Manual backup","Backup Manual Title","ok"
"settings_backup_pg_mode_desc_1","Native JellyGate ZIP backups (SQLite) are disabled.","Backup Pg Mode Desc 1","ok"
"settings_backup_pg_mode_desc_2","Use pg_dump and pg_restore for PostgreSQL.","Backup Pg Mode Desc 2","ok"
"settings_backup_pg_mode_title","PostgreSQL mode detected","Backup Pg Mode Title","ok"
"settings_backup_pg_not_supported","Action not supported in PostgreSQL mode","Azione non supportata in modalita PostgreSQL","ok"
"settings_backup_pg_plan_unavailable","Local backup scheduler unavailable in PostgreSQL mode (use pg_dump/pg_restore)","Backup Pg Plan Unavailable","ok"
"settings_backup_restore_confirm_prefix","Prepare restoration for","Prepara il ripristino per","ok"
"settings_backup_restore_confirm_suffix","A restart is required.","E necessario un riavvio.","ok"
"settings_backup_restore_error","Restore failed","Ripristino non riuscito","ok"
"settings_backup_restore_ready","Restoration prepared. Restart JellyGate.","Ripristino pronto. Riavvia JellyGate.","ok"
"settings_backup_retention_fixed","Backups kept (fixed)","Backup Retention Fixed","ok"
"settings_backup_retention_help","JellyGate automatically keeps the latest 7 backups (including imports).","Backup Retention Help","ok"
"settings_backup_save_schedule","Save backup schedule","Backup Save Schedule","ok"
"settings_backup_select_zip","Select a .zip file","Seleziona un file .zip","ok"
"settings_backup_title","Backups and restoration","Backup Title","ok"
"settings_default_lang","Server default language","Lingua predefinita del server","ok"
"settings_default_lang_help","Language used when the user has no preference set","Lingua usata quando l utente non ha impostato preferenze","ok"
"settings_default_none","Default (none)","Predefinito (nessuno)","ok"
"settings_email_base_desc","This shared shell contains the HTML used by all emails. Simple message content is inserted automatically between these two blocks.","This shared shell contains the HTML used by all emails. Simple message content is inserted automatically between these two blocks.","untranslated"
"settings_email_base_footer","Base template: HTML footer","Base template: HTML footer","untranslated"
"settings_email_base_header","Base template: HTML header","Base template: HTML header","untranslated"
"settings_email_base_live_preview_desc","The render updates automatically while you edit the header or footer.","The render updates automatically while you edit the header or footer.","untranslated"
"settings_email_base_live_preview_title","Live base preview","Live base preview","untranslated"
"settings_email_base_preview","Preview base template","Preview base template","untranslated"
"settings_email_base_preview_demo","You received an invitation to join the Jellyfin server.

The button and direct link appear automatically below this message.","You received an invitation to join the Jellyfin server.

The button and direct link appear automatically below this message.","untranslated"
"settings_email_base_preview_desc","This preview shows the shared shell with a simple message and the standard automatic blocks.","This preview shows the shared shell with a simple message and the standard automatic blocks.","untranslated"
"settings_email_base_restore","Restore default base","Restore default base","untranslated"
"settings_email_base_title","Shared base template","Shared base template","untranslated"
"settings_email_base_variables_title","Advanced variables for the base template","Advanced variables for the base template","untranslated"
