key,english,pt-br,status
"automation_task_minute_placeholder","Minute (0-59)","Minuto (0-59)","ok"
"automation_task_name_placeholder","Task name","Nome da tarefa","ok"
"automation_task_payload_empty","No payload","Sem payload","ok"
"automation_task_payload_placeholder","JSON payload (optional)","JSON payload (opcional)","ok"
"automation_task_payload_ready","Payload ready","Payload pronto","ok"
"automation_task_preview_empty","Fill the form to preview the schedule and execution state.","Preencha o formulario para ver o agendamento e o estado de execucao.","ok"
"automation_task_preview_title","Task preview","Previa da tarefa","ok"
"automation_task_run_failed","Task execution failed.","Falha ao executar a tarefa.","ok"
"automation_task_run_success","Task started.","Tarefa iniciada.","ok"
"automation_task_update_failed","Unable to update task.","Nao foi possivel atualizar a tarefa.","ok"
"automation_tasks_desc","Create recurring jobs, then verify the schedule and payload before saving.","Crie tarefas recorrentes e confira o agendamento e o payload antes de salvar.","ok"
"automation_tasks_title","Scheduled tasks","Tarefas agendadas","ok"
"automation_type_cleanup_resets_desc","Remove expired password reset requests to keep the recovery flow clean.","Remova pedidos expirados de redefinicao de senha para manter o fluxo de recuperacao limpo.","ok"
"automation_type_create_backup_desc","Create a fresh backup snapshot for restore or audit purposes.","Crie um novo snapshot de backup para restauracao ou auditoria.","ok"
"automation_type_sync_users_desc","Sync local users with Jellyfin or directory state to keep access consistent.","Sincronize usuarios locais com o Jellyfin ou com o diretorio para manter o acesso consistente.","ok"
"back_to_login","Back to login","Voltar para o login","ok"
"base_language_label","Language","Idioma","ok"
"btn_save","Save","Salvar","ok"
"cancel","Cancel","Cancelar","ok"
"col_actions","Actions","Acoes","ok"
"col_created_at","Date","Data","ok"
"col_email","Email","E-mail","ok"
"col_invited_by","Invited by","Convidado por","ok"
"col_jellyfin","Jellyfin","Jellyfin","untranslated"
"col_status","Status","Status","untranslated"
"col_username","User","Usuario","ok"
"common_bad_request","Invalid request","Requisicao invalida","ok"
"common_next","Next","Proxima","ok"
"common_previous","Previous","Anterior","ok"
"common_server_error","Server error","Erro do servidor","ok"
"dashboard_heading","Dashboard","Painel","ok"
"dashboard_intro_title","Jellyfin Access Manager","Gerenciador de acesso Jellyfin","ok"
"dashboard_my_account_title","Account","Minha conta","ok"
"dashboard_no_users","No users yet","Ainda nÃ£o hÃ¡ usuÃ¡rios","ok"
"dashboard_open_my_account","Open My Account","Abrir minha conta","ok"
"dashboard_panel_invites_title","Invitations","Convites","ok"
"dashboard_panel_settings_title","Settings","Configurações","ok"
"dashboard_panel_users_title","Users","Usuários","ok"
"dashboard_recent_users","Recent users","Usuarios recentes","ok"
"dashboard_stats_title","Pulse","Atividade","ok"
"dashboard_title","Dashboard","Painel","ok"
"dashboard_welcome","Welcome","Bem-vindo","ok"
"failure","Failure","Erro","ok"
"field_display_name","Display name","Nome de exibicao","ok"
"field_display_name_placeholder","E.g. John Doe","Ex.: John Doe","ok"
"field_email","Email","E-mail","ok"
"field_email_placeholder","E.g. john@example.com","Ex.: john@example.com","ok"
"field_email_required","Email","E-mail","ok"
"field_identifier","Email or username","E-mail ou nome de usuario","ok"
"field_identifier_placeholder","E.g. john_doe or john@example.com","Ex.: john_doe ou john@example.com","ok"
"field_new_password","New password","Nova senha","ok"
"field_password","Password","Senha","ok"
"field_password_confirm","Confirm password","Confirmar senha","ok"
"field_password_confirm_placeholder","Re-enter your password","Digite sua senha novamente","ok"
"field_password_placeholder","Minimum 8 characters","Minimo de 8 caracteres","ok"
"field_username","Username","Nome de usuario","ok"
"field_username_help","3-32 characters: letters, numbers, dashes, underscores","3-32 caracteres: letras, numeros, hifens e sublinhados","ok"
"field_username_placeholder","E.g. john_doe","Ex.: john_doe","ok"
"i18n_report_back_settings","Back to settings","Voltar para configuracoes","ok"
"i18n_report_col_fallback","Fallback values","Valores de fallback","ok"
"i18n_report_col_locale","Locale","Idioma","ok"
"i18n_report_col_missing_base","Missing vs base","Ausencias em relacao a base","ok"
"i18n_report_col_missing_template","Missing template keys","Chaves de template ausentes","ok"
"i18n_report_col_placeholder","Placeholder mismatches","Placeholders inconsistentes","ok"
"i18n_report_col_total_keys","Total keys","Total de chaves","ok"
"i18n_report_intro","Checks template key coverage, placeholder consistency, and fallback values by locale.","Verifica a cobertura das chaves dos templates, a consistencia dos placeholders e os valores de fallback por idioma.","ok"
"i18n_report_load_error","Unable to load the i18n report.","Nao foi possivel carregar o relatorio i18n.","ok"
"i18n_report_no_data","No data.","Sem dados.","ok"
"i18n_report_title","i18n Report","Relatorio i18n","ok"
"invitations_badge_active","Active","Ativo","ok"
"invitations_badge_expired","Expired","Expirado","ok"
"invitations_col_email","Delivery","Envio","ok"
"invitations_col_link_code","Invitation link","Link de convite","ok"
"invitations_col_link_expiry","Link expiry","Expiracao do link","ok"
"invitations_col_profile_expiry","Account policy","Politica da conta","ok"
"invitations_conversion_rate","Conversion rate","Taxa de conversao","ok"
"invitations_conversions","Conversions","Conversoes","ok"
"invitations_copy","Copy","Copiar","ok"
"invitations_copy_full_link","Copy full link","Copiar link completo","ok"
"invitations_copy_unavailable","Clipboard access is unavailable","A area de transferencia nao esta disponivel","ok"
"invitations_create_desc","Generate a reusable signup link, prefill account rules, and optionally send it by email.","Gere um link de cadastro reutilizavel, preconfigure as regras da conta e envie-o por e-mail se necessario.","ok"
"invitations_create_link","Create invitation","Criar convite","ok"
"invitations_create_title","Invitation flow","Fluxo de convites","ok"
"invitations_created","Invitation created","Convite criado","ok"
"invitations_default_policy","Default policy","Politica padrao","ok"
"invitations_delete","Delete","Excluir","ok"
"invitations_delete_after_days","Delete account after {n} days","Excluir conta apos {n} dias","ok"
"invitations_delete_desc","This invitation will be removed permanently. Existing users created from it are not affected.","Este convite sera removido permanentemente. Os usuarios ja criados a partir dele nao serao afetados.","ok"
"invitations_delete_title","Delete invitation","Excluir convite","ok"
"invitations_deleted","Invitation deleted","Convite excluido","ok"
"invitations_disable_after_days","Disable account after {n} days","Desativar conta apos {n} dias","ok"
"invitations_email_manual","Email delivery","Envio por e-mail","ok"
"invitations_error_loading","Unable to load invitations","Nao foi possivel carregar os convites","ok"
"invitations_expires_on","Expires on {date}","Expira em {date}","ok"
"invitations_forced_username","Reserved username","Nome de usuario reservado","ok"
"invitations_forced_username_help","Optional. Lock the signup to a single username when you need a pre-assigned account.","Opcional. Restrinja o cadastro a um unico nome de usuario quando a conta ja estiver previamente atribuida.","ok"
"invitations_forced_username_placeholder","Leave blank to let the user choose","Deixe em branco para permitir que o usuario escolha","ok"
"invitations_group_default","Default group","Grupo padrao","ok"
"invitations_group_prefix","Group: {group}","Grupo: {group}","ok"
"invitations_invalid_max_uses","Your current policy allows between 1 and {n} uses per link.","Sua politica atual permite entre 1 e {n} usos por link.","ok"
"invitations_invalid_user_expiry","Choose a relative or absolute expiry before creating the invitation.","Escolha uma expiracao relativa ou absoluta antes de criar o convite.","ok"
"invitations_invite_option_enabled_help","The invited account will be allowed to create invitations after signup.","A conta convidada podera criar convites depois do cadastro.","ok"
"invitations_invite_option_policy_limited","Your role cannot grant invite rights on new accounts.","Sua funcao nao pode conceder permissoes de convite a novas contas.","ok"
"invitations_last_link_label","Latest generated link","Ultimo link gerado","ok"
"invitations_last_link_placeholder","The newest invitation URL will appear here","A URL de convite mais recente aparecera aqui","ok"
"invitations_link_copied","Invitation link copied","Link de convite copiado","ok"
"invitations_link_expires_label","Link expiry","Expiracao do link","ok"
"invitations_link_help_default","Leave empty to keep the link valid until it is used or revoked.","Deixe em branco para manter o link valido ate o uso ou a revogacao.","ok"
"invitations_link_help_limited","Your current policy recommends an expiry within the next {n} hours.","Sua politica atual recomenda uma expiracao dentro das proximas {n} horas.","ok"
"invitations_links_active","Active links","Links ativos","ok"
"invitations_links_closed","Closed links","Links encerrados","ok"
"invitations_links_created","Links created","Links criados","ok"
"invitations_max_uses_label","Maximum uses","Numero maximo de usos","ok"
"invitations_new_invitation","New invitation","Novo convite","ok"
"invitations_new_user_can_invite","Grant invite rights to the new account","Permitir que a nova conta convide","ok"
"invitations_no_link_to_copy","There is no invitation link to copy yet.","Ainda nao ha link de convite para copiar.","ok"
"invitations_no_planned_delete","No deletion planned","Nenhuma exclusao planejada","ok"
"invitations_none_active","No active invitations found.","Nenhum convite ativo encontrado.","ok"
"invitations_policy_base_links","Base URL: {url}","URL base: {url}","ok"
"invitations_policy_expiry_locked","User expiry is locked by the active invitation policy.","A expiracao do usuario esta bloqueada pela politica de convite ativa.","ok"
"invitations_policy_grant_locked","Invite rights are locked by the active invitation policy.","Os direitos de convite estao bloqueados pela politica de convite ativa.","ok"
"invitations_policy_loading","Loading invitation policy...","Carregando politica de convite...","ok"
"invitations_policy_max_ttl","Max link lifetime: {n}h","Vida maxima do link: {n}h","ok"
"invitations_policy_max_uses","Max uses per link: {n}","Usos maximos por link: {n}","ok"
"invitations_policy_quota_day","Daily quota: {n}","Cota diaria: {n}","ok"
"invitations_policy_quota_month","Monthly quota: {n}","Cota mensal: {n}","ok"
"invitations_policy_quota_week","Weekly quota: {n}","Cota semanal: {n}","ok"
"invitations_rate","Rate","Taxa","ok"
"invitations_role_can_invite","can invite others","pode convidar","ok"
"invitations_role_standard","standard account","conta padrao","ok"
"invitations_section_link_settings","Link settings","Configuracoes do link","ok"
"invitations_section_smtp_notification","Email delivery","Envio por e-mail","ok"
"invitations_section_user_profile","Future account rules","Regras da futura conta","ok"
"invitations_send_to_email_help","Optional. If SMTP is configured, JellyGate sends the invitation immediately.","Opcional. Se o SMTP estiver configurado, o JellyGate envia o convite imediatamente.","ok"
"invitations_send_to_email_label","Send invitation to","Enviar convite para","ok"
"invitations_sponsor","Sponsor","Patrocinador","ok"
"invitations_sponsor_dashboard","Sponsor activity","Atividade dos patrocinadores","ok"
"invitations_sponsor_no_data","No sponsor activity available yet.","Ainda nao ha atividade de patrocinadores.","ok"
"invitations_stats_error","Unable to load sponsor statistics","Nao foi possivel carregar as estatisticas dos patrocinadores","ok"
"invitations_stats_loading","Loading sponsor statistics...","Carregando estatisticas dos patrocinadores...","ok"
"invitations_stats_updated_at","Updated {at}","Atualizado {at}","ok"
"invitations_subheading","Create invitation links, monitor sponsor activity, and keep onboarding rules consistent.","Crie links de convite, acompanhe a atividade dos patrocinadores e mantenha consistentes as regras de entrada.","ok"
"invitations_unknown_error","An unexpected error occurred","Ocorreu um erro inesperado","ok"
"invitations_unknown_sponsor","(unknown)","(desconhecido)","ok"
"invitations_unlimited","Unlimited","Ilimitado","ok"
"invitations_user_expiry_absolute","Absolute account expiry","Expiracao absoluta da conta","ok"
"invitations_user_expiry_absolute_help","Optional. Set a fixed expiry date instead of a relative delay.","Opcional. Defina uma data fixa de expiracao em vez de um prazo relativo.","ok"
"invitations_user_expiry_days_help","Apply a relative expiry window once the invited account is created.","Aplique uma janela relativa de expiracao quando a conta convidada for criada.","ok"
"invitations_user_expiry_enable","Set an expiry policy for the invited account","Definir politica de expiracao para a conta convidada","ok"
"invitations_user_expiry_future","The absolute expiry must be in the future.","A expiracao absoluta precisa estar no futuro.","ok"
"invitations_uses","Uses","Usos","ok"
"invitations_uses_help_default","Use 0 for unlimited redemptions.","Use 0 para resgates ilimitados.","ok"
"invitations_uses_help_limited","Your current policy allows between 1 and {n} redemptions.","Sua politica atual permite entre 1 e {n} resgates.","ok"
"invite_error_config","Invitation configuration error","Erro de configuracao do convite","ok"
"invite_error_email_verification_unavailable","Email verification is enabled, but email sending is unavailable right now.","A verificacao por e-mail esta ativada, mas o envio de e-mails nao esta disponivel no momento.","ok"
"invite_error_invalid_or_expired","Invalid or expired invitation","Convite invalido ou expirado","ok"
"invite_error_jellyfin_create","Error while creating the account (Jellyfin)","Erro ao criar a conta (Jellyfin)","ok"
"invite_error_ldap_create","Error while creating the account (LDAP)","Erro ao criar a conta (LDAP)","ok"
"invite_error_persist","Error while saving the account","Erro ao salvar a conta","ok"
"invite_footer","Powered by JellyGate","Desenvolvido com JellyGate","ok"
"invite_heading","Create your account","Crie sua conta","ok"
"invite_login_jellyfin","Sign in to Jellyfin","Entrar no Jellyfin","ok"
"invite_open_jellyseerr","Open Jellyseerr","Abrir Jellyseerr","ok"
"invite_open_jellytrack","Open jellytrack","Abrir jellytrack","ok"
"invite_quick_links","Quick links","Links rapidos","ok"
"invite_subheading","Fill in the form to join the media library","Preencha o formulario para entrar na biblioteca de midia","ok"
"invite_submit","Create my account","Criar minha conta","ok"
"invite_success_hybrid","Welcome {username}! Your account was created in Jellyfin and in LDAP.","Bem-vindo, {username}. Sua conta foi criada no Jellyfin e no LDAP.","ok"
"invite_success_ldap_only","Welcome {username}! Your account was created in LDAP. Jellyfin access will use your LDAP integration.","Bem-vindo, {username}. Sua conta foi criada no LDAP. O acesso ao Jellyfin usara sua integracao LDAP.","ok"
"invite_success_pending_verification","Check your email to confirm the creation of account {username}. Your account will be created only after this confirmation.","Verifique seu e-mail para confirmar a criacao da conta {username}. A conta sera criada somente apos essa confirmacao.","ok"
"invite_title","Sign Up","Cadastro","ok"
"login_error_forbidden","You are not an administrator","Voce nao e um administrador","ok"
"login_error_invalid","Invalid credentials","Credenciais invalidas","ok"
"login_error_required","Enter both your username and password.","Informe o nome de usuario e a senha.","ok"
"login_forgot_password","Forgot password?","Esqueceu a senha?","ok"
"login_jellyfin_desc","Media library access","Acesso à biblioteca","ok"
"login_jellyseerr_desc","Browse and request content","Solicitar conteúdo","ok"
"login_jellytrack_desc","Playback statistics tracking","Estatísticas","ok"
"login_shortcuts","Shortcuts","Atalhos","ok"
"login_subheading","Administration","Administracao","ok"
"login_submit","Sign in","Acessar","ok"
"login_title","Login","Entrar","ok"
"logs_col_action","Action","Acao","ok"
"logs_col_actor","Actor","Autor","ok"
"logs_col_details","Details","Detalhes","ok"
"logs_col_target","Target","Alvo","ok"
"logs_load_error","Unable to load audit logs","Nao foi possivel carregar os logs de auditoria","ok"
"logs_loading","Loading audit logs...","Carregando logs de auditoria...","ok"
"logs_network_error","Network error while loading audit logs","Erro de rede ao carregar os logs de auditoria","ok"
"logs_no_results","No audit events match the current filters.","Nenhum evento de auditoria corresponde aos filtros atuais.","ok"
"logs_no_results_short","No matching events","Nenhum evento correspondente","ok"
"logs_of_label","of","de","ok"
"logs_page_label","Page","Pagina","ok"
"logs_pagination_loading","Loading pagination...","Carregando paginacao...","ok"
"logs_per_page_suffix","per page","por pagina","ok"
"logs_search_placeholder","Search actions, actors, targets, details, or request IDs","Buscar acoes, autores, alvos, detalhes ou request_id","ok"
"logs_system_actor","System","Sistema","ok"
"logs_total_label","Total","Total","untranslated"
"my_account_channel_discord","Discord","Discord","untranslated"
"my_account_channel_email","Email","E-mail","ok"
"my_account_channel_optin","Delivery channels","Canais de entrega","ok"
"my_account_channel_telegram","Telegram","Telegram","untranslated"
"my_account_contact_help","Update contact information and notification preferences.","Atualize as informações de contato e preferências de notificação.","ok"
"my_account_default_server_lang","Use the server default language","Usar o idioma padrao do servidor","ok"
"my_account_edit_profile","Edit profile","Editar perfil","ok"
"my_account_email_pending_label","Pending email:","E-mail pendente:","ok"
"my_account_email_status_missing","No email configured","Nenhum e-mail configurado","ok"
"my_account_email_status_pending","Pending verification","Verificacao pendente","ok"
"my_account_email_status_unverified","Verification required","Verificacao obrigatoria","ok"
"my_account_email_status_verified","Verified","Verificado","ok"
"my_account_email_verification_help","Confirm this email address to receive account messages and recovery links.","Confirme este e-mail para receber mensagens da conta e links de recuperacao.","ok"
"my_account_email_verification_label","Email verification","Verificacao de e-mail","ok"
"my_account_email_verification_missing","Add an email address to enable verification and password recovery.","Adicione um endereco de e-mail para ativar a verificacao e a recuperacao de senha.","ok"
"my_account_email_verification_ok","Your current email address is verified.","Seu endereco de e-mail atual esta verificado.","ok"
"my_account_email_verification_pending","Check your inbox and click the confirmation link sent to the pending address.","Verifique sua caixa de entrada e abra o link enviado para o endereco pendente.","ok"
"my_account_email_verification_resend","Resend verification email","Reenviar e-mail de verificacao","ok"
"my_account_email_verification_send_error","Unable to send a verification email","Nao foi possivel enviar o e-mail de verificacao","ok"
"my_account_email_verification_sent","A verification email has been sent.","Um e-mail de verificacao foi enviado.","ok"
"my_account_label_access_expiry","Access expiry","Expiracao do acesso","ok"
"my_account_label_confirm_password","Confirm new password","Confirmar nova senha","ok"
"my_account_label_discord","Discord handle","Usuario do Discord","ok"
"my_account_label_email","Email address","Endereco de e-mail","ok"
"my_account_label_new_password","New password","Nova senha","ok"
"my_account_label_preferred_lang","Preferred language","Idioma preferido","ok"
"my_account_label_role","Role","Funcao","ok"
"my_account_label_telegram","Telegram handle","Usuario do Telegram","ok"
"my_account_label_user","Username","Nome de usuario","ok"
"my_account_load_error","Unable to load your account","Nao foi possivel carregar sua conta","ok"
"my_account_no_expiry","No expiry configured","Nenhuma expiracao configurada","ok"
"my_account_notify_events","Notify me about account events","Notificar-me sobre eventos da conta","ok"
"my_account_notify_expiry","Notify me before access expires","Avisar-me antes de o acesso expirar","ok"
"my_account_password_help","Change your password. Choose a strong password (min. 8 characters).","Altere sua senha. Escolha uma senha forte (mín. 8 caracteres).","ok"
"my_account_password_min_hint","At least 8 characters","Pelo menos 8 caracteres","ok"
"my_account_password_mismatch","The passwords do not match","As senhas nao coincidem","ok"
"my_account_password_too_short","The password must contain at least 8 characters","A senha deve ter pelo menos 8 caracteres","ok"
"my_account_password_update_error","Unable to update the password","Nao foi possivel atualizar a senha","ok"
"my_account_password_updated","Password updated","Senha atualizada","ok"
"my_account_save_error","Unable to save your preferences","Nao foi possivel salvar suas preferencias","ok"
"my_account_save_preferences","Save preferences","Salvar preferencias","ok"
"my_account_saved","Preferences saved","Preferencias salvas","ok"
"my_account_section_contact","Contact and preferences","Contato e preferencias","ok"
"my_account_section_password","Password","Senha","ok"
"my_account_section_profile","Profile summary","Resumo do perfil","ok"
"my_account_subheading","Keep your contact details, delivery channels, language, and password up to date.","Mantenha atualizados seus contatos, canais de entrega, idioma e senha.","ok"
"my_account_subtitle","Manage your profile and preferences","Gerencie seu perfil e preferências","ok"
"my_account_update_password","Update password","Atualizar senha","ok"
"nav_automation","Automation","Automacao","ok"
"nav_dashboard","Dashboard","Painel","ok"
"nav_invitations","Invitations","Convites","ok"
"nav_logout","Sign out","Sair","ok"
"nav_logs","Logs","Registros","ok"
"nav_my_account","My Account","Minha conta","ok"
"nav_settings","Settings","Configuracoes","ok"
"nav_theme","Theme","Tema","ok"
"nav_users","Users","Usuarios","ok"
"password_match","Passwords match","As senhas coincidem","ok"
"password_mismatch","Passwords do not match","As senhas nao coincidem","ok"
"password_policy_missing","Missing requirements","Requisitos faltando","ok"
"password_policy_ok","Password rules satisfied","Regras de senha atendidas","ok"
"password_rule_at_least","at least {n} characters","pelo menos {n} caracteres","ok"
"password_rule_at_most","at most {n} characters","no maximo {n} caracteres","ok"
"password_rule_digit","one digit","um numero","ok"
"password_rule_lower","one lowercase letter","uma letra minuscula","ok"
"password_rule_special","one special character","um caractere especial","ok"
"password_rule_upper","one uppercase letter","uma letra maiuscula","ok"
"password_rules_chars","characters","caracteres","ok"
"password_rules_prefix","Rules:","Regras:","ok"
"reset_new_heading","New password","Nova senha","ok"
"reset_new_subheading","Choose a new secure password","Escolha uma nova senha segura","ok"
"reset_request_heading","Forgot password","Esqueceu a senha","ok"
"reset_request_subheading","Enter your identifier to receive a reset link","Informe seu identificador para receber um link de redefinicao","ok"
"reset_request_submit","Send reset link","Enviar link","ok"
"reset_submit","Reset password","Redefinir senha","ok"
"reset_title","Password Reset","Redefinir senha","ok"
"role_admin","Administrator","Administrador","ok"
"role_user","User","Usuario","ok"
"settings_backup_action_delete","Delete","Excluir","ok"
"settings_backup_action_export","Export","Exportar","ok"
"settings_backup_action_restore","Restore","Restaurar","ok"
"settings_backup_archives_desc","Restoration is prepared then applied on next JellyGate restart.","Backup Archives Desc","ok"
"settings_backup_archives_title","Available archives","Backup Archives Title","ok"
"settings_backup_col_actions","Actions","Backup Col Actions","ok"
"settings_backup_col_archive","Archive","Backup Col Archive","ok"
"settings_backup_col_date","Date","Backup Col Date","ok"
"settings_backup_col_size","Size","Backup Col Size","ok"
"settings_backup_create_now","Create backup now","Backup Create Now","ok"
"settings_backup_created","Backup created","Copia criada","ok"
"settings_backup_daily_time","Daily execution time","Backup Daily Time","ok"
"settings_backup_delete_confirm_prefix","Delete permanently","Excluir permanentemente","ok"
"settings_backup_delete_error","Delete failed","Falha ao excluir","ok"
"settings_backup_deleted","Backup deleted","Copia excluida","ok"
"settings_backup_desc","Configure automatic backups, create manual backups, import archives, and prepare a restoration.","Backup Desc","ok"
"settings_backup_enable_auto","Enable automatic backups","Backup Enable Auto","ok"
"settings_backup_error","Backup error","Erro de backup","ok"
"settings_backup_import_btn","Import","Backup Import Btn","ok"
"settings_backup_import_desc","Import a ZIP archive into JellyGate for later restoration. Export/Delete actions remain available below.","Backup Import Desc","ok"
"settings_backup_import_error","Import failed","Falha ao importar","ok"
"settings_backup_import_title","Import a backup","Backup Import Title","ok"
"settings_backup_imported","Backup imported","Copia importada","ok"
"settings_backup_list_empty","No backup available.","Backup List Empty","ok"
"settings_backup_list_load_error","Unable to load backups.","Backup List Load Error","ok"
"settings_backup_list_pg_unavailable","PostgreSQL mode: SQLite archives are unavailable. Use pg_dump/pg_restore.","Backup List Pg Unavailable","ok"
"settings_backup_manual_desc","Create an exportable ZIP archive (SQLite DB + settings + templates).","Backup Manual Desc","ok"
"settings_backup_manual_title","Manual backup","Backup Manual Title","ok"
"settings_backup_pg_mode_desc_1","Native JellyGate ZIP backups (SQLite) are disabled.","Backup Pg Mode Desc 1","ok"
"settings_backup_pg_mode_desc_2","Use pg_dump and pg_restore for PostgreSQL.","Backup Pg Mode Desc 2","ok"
"settings_backup_pg_mode_title","PostgreSQL mode detected","Backup Pg Mode Title","ok"
"settings_backup_pg_not_supported","Action not supported in PostgreSQL mode","Acao nao suportada no modo PostgreSQL","ok"
"settings_backup_pg_plan_unavailable","Local backup scheduler unavailable in PostgreSQL mode (use pg_dump/pg_restore)","Backup Pg Plan Unavailable","ok"
"settings_backup_restore_confirm_prefix","Prepare restoration for","Preparar restauracao para","ok"
"settings_backup_restore_confirm_suffix","A restart is required.","E necessario reiniciar.","ok"
"settings_backup_restore_error","Restore failed","Falha ao restaurar","ok"
"settings_backup_restore_ready","Restoration prepared. Restart JellyGate.","Restauracao preparada. Reinicie o JellyGate.","ok"
"settings_backup_retention_fixed","Backups kept (fixed)","Backup Retention Fixed","ok"
"settings_backup_retention_help","JellyGate automatically keeps the latest 7 backups (including imports).","Backup Retention Help","ok"
"settings_backup_save_schedule","Save backup schedule","Backup Save Schedule","ok"
"settings_backup_select_zip","Select a .zip file","Selecione um arquivo .zip","ok"
"settings_backup_title","Backups and restoration","Backup Title","ok"
"settings_default_lang","Server default language","Idioma padrao do servidor","ok"
"settings_default_lang_help","Language used when the user has no preference set","Idioma usado quando o usuario nao tem preferencia definida","ok"
"settings_default_none","Default (none)","Padrao (nenhum)","ok"
"settings_email_base_desc","This shared shell contains the HTML used by all emails. Simple message content is inserted automatically between these two blocks.","This shared shell contains the HTML used by all emails. Simple message content is inserted automatically between these two blocks.","untranslated"
"settings_email_base_footer","Base template: HTML footer","Base template: HTML footer","untranslated"
"settings_email_base_header","Base template: HTML header","Base template: HTML header","untranslated"
"settings_email_base_live_preview_desc","The render updates automatically while you edit the header or footer.","The render updates automatically while you edit the header or footer.","untranslated"
"settings_email_base_live_preview_title","Live base preview","Live base preview","untranslated"
"settings_email_base_preview","Preview base template","Preview base template","untranslated"
"settings_email_base_preview_demo","You received an invitation to join the Jellyfin server.

The button and direct link appear automatically below this message.","You received an invitation to join the Jellyfin server.

The button and direct link appear automatically below this message.","untranslated"
"settings_email_base_preview_desc","This preview shows the shared shell with a simple message and the standard automatic blocks.","This preview shows the shared shell with a simple message and the standard automatic blocks.","untranslated"
"settings_email_base_restore","Restore default base","Restore default base","untranslated"
"settings_email_base_title","Shared base template","Shared base template","untranslated"
"settings_email_base_variables_title","Advanced variables for the base template","Advanced variables for the base template","untranslated"
