key,english,fr,status
"invitations_send_to_email_help","Optional. If SMTP is configured, JellyGate sends the invitation immediately.","Optionnel. Si SMTP est configure, JellyGate envoie l invitation immediatement.","ok"
"invitations_send_to_email_label","Send invitation to","Envoyer l invitation a","ok"
"invitations_sponsor","Sponsor","Parrain","ok"
"invitations_sponsor_dashboard","Sponsor activity","Activite des parrains","ok"
"invitations_sponsor_no_data","No sponsor activity available yet.","Aucune activite de parrain disponible pour le moment.","ok"
"invitations_stats_error","Unable to load sponsor statistics","Impossible de charger les statistiques des parrains","ok"
"invitations_stats_loading","Loading sponsor statistics...","Chargement des statistiques des parrains...","ok"
"invitations_stats_updated_at","Updated {at}","Mise a jour {at}","ok"
"invitations_subheading","Create invitation links, monitor sponsor activity, and keep onboarding rules consistent.","Creez des liens d invitation, suivez l activite des parrains et gardez des regles d arrivee coherentes.","ok"
"invitations_unknown_error","An unexpected error occurred","Une erreur inattendue est survenue","ok"
"invitations_unknown_sponsor","(unknown)","(inconnu)","ok"
"invitations_unlimited","Unlimited","Illimite","ok"
"invitations_user_expiry_absolute","Absolute account expiry","Expiration absolue du compte","ok"
"invitations_user_expiry_absolute_help","Optional. Set a fixed expiry date instead of a relative delay.","Optionnel. Definissez une date fixe d expiration au lieu d un delai relatif.","ok"
"invitations_user_expiry_days_help","Apply a relative expiry window once the invited account is created.","Appliquez une fenetre d expiration relative une fois le compte cree.","ok"
"invitations_user_expiry_enable","Set an expiry policy for the invited account","Definir une politique d expiration pour le compte invite","ok"
"invitations_user_expiry_future","The absolute expiry must be in the future.","La date d expiration absolue doit etre dans le futur.","ok"
"invitations_uses","Uses","Utilisations","ok"
"invitations_uses_help_default","Use 0 for unlimited redemptions.","Utilisez 0 pour un nombre illimite d inscriptions.","ok"
"invitations_uses_help_limited","Your current policy allows between 1 and {n} redemptions.","Votre politique actuelle autorise entre 1 et {n} utilisations.","ok"
"invite_error_config","Invitation configuration error","Erreur de configuration de l'invitation","ok"
"invite_error_email_verification_unavailable","Email verification is enabled, but email sending is unavailable right now.","La verification par email est activee, mais l'envoi d'emails est indisponible pour le moment.","ok"
"invite_error_invalid_or_expired","Invalid or expired invitation","Invitation invalide ou expiree","ok"
"invite_error_jellyfin_create","Error while creating the account (Jellyfin)","Erreur lors de la creation du compte (Jellyfin)","ok"
"invite_error_ldap_create","Error while creating the account (LDAP)","Erreur lors de la creation du compte (LDAP)","ok"
"invite_error_persist","Error while saving the account","Erreur lors de l'enregistrement du compte","ok"
"invite_footer","Powered by JellyGate","Propulse par JellyGate","ok"
"invite_heading","Create your account","Creer votre compte","ok"
"invite_login_jellyfin","Sign in to Jellyfin","Se connecter a Jellyfin","ok"
"invite_open_jellyseerr","Open Jellyseerr","Ouvrir Jellyseerr","ok"
"invite_open_jellytrack","Open jellytrack","Ouvrir jellytrack","ok"
"invite_quick_links","Quick links","Raccourcis rapides","ok"
"invite_subheading","Fill in the form to join the media library","Remplissez le formulaire pour rejoindre la bibliotheque","ok"
"invite_submit","Create my account","Creer mon compte","ok"
"invite_success_hybrid","Welcome {username}! Your account was created in Jellyfin and in LDAP.","Bienvenue {username} ! Votre compte a ete cree dans Jellyfin et dans l'annuaire LDAP.","ok"
"invite_success_ldap_only","Welcome {username}! Your account was created in LDAP. Jellyfin access will use your LDAP integration.","Bienvenue {username} ! Votre compte a ete cree dans l'annuaire LDAP. L'acces Jellyfin utilisera votre integration LDAP.","ok"
"invite_success_pending_verification","Check your email to confirm the creation of account {username}. Your account will be created only after this confirmation.","Verifiez votre email pour confirmer la creation du compte {username}. Le compte sera cree uniquement apres cette confirmation.","ok"
"invite_title","Sign Up","Inscription","ok"
"login_error_forbidden","You are not an administrator","Vous n etes pas administrateur","ok"
"login_error_invalid","Invalid credentials","Identifiants invalides","ok"
"login_error_required","Enter both your username and password.","Renseignez votre nom d utilisateur et votre mot de passe.","ok"
"login_forgot_password","Forgot password?","Mot de passe oublie ?","ok"
"login_jellyfin_desc","Media library access","Accès à la bibliothèque","ok"
"login_jellyseerr_desc","Browse and request content","Demander du contenu","ok"
"login_jellytrack_desc","Playback statistics tracking","Statistiques de lecture","ok"
"login_shortcuts","Shortcuts","Raccourcis","ok"
"login_subheading","Administration","Administration","untranslated"
"login_submit","Sign in","Se connecter","ok"
"login_title","Login","Connexion","ok"
"logs_col_action","Action","Action","untranslated"
"logs_col_actor","Actor","Acteur","ok"
"logs_col_details","Details","Details","untranslated"
"logs_col_target","Target","Cible","ok"
"logs_load_error","Unable to load audit logs","Impossible de charger le journal d audit","ok"
"logs_loading","Loading audit logs...","Chargement du journal d audit...","ok"
"logs_network_error","Network error while loading audit logs","Erreur reseau lors du chargement du journal d audit","ok"
"logs_no_results","No audit events match the current filters.","Aucun evenement d audit ne correspond aux filtres actuels.","ok"
"logs_no_results_short","No matching events","Aucun evenement correspondant","ok"
"logs_of_label","of","sur","ok"
"logs_page_label","Page","Page","untranslated"
"logs_pagination_loading","Loading pagination...","Chargement de la pagination...","ok"
"logs_per_page_suffix","per page","par page","ok"
"logs_search_placeholder","Search actions, actors, targets, details, or request IDs","Rechercher des actions, acteurs, cibles, details ou request_id","ok"
"logs_system_actor","System","Systeme","ok"
"logs_total_label","Total","Total","untranslated"
"my_account_channel_discord","Discord","Discord","untranslated"
"my_account_channel_email","Email","E-mail","ok"
"my_account_channel_optin","Delivery channels","Canaux de diffusion","ok"
"my_account_channel_telegram","Telegram","Telegram","untranslated"
"my_account_contact_help","Update contact information and notification preferences.","Mettez à jour vos coordonnées et préférences de notification.","ok"
"my_account_default_server_lang","Use the server default language","Utiliser la langue par defaut du serveur","ok"
"my_account_edit_profile","Edit profile","Modifier le profil","ok"
"my_account_email_pending_label","Pending email:","E-mail en attente :","ok"
"my_account_email_status_missing","No email configured","Aucun e-mail configure","ok"
"my_account_email_status_pending","Pending verification","Verification en attente","ok"
"my_account_email_status_unverified","Verification required","Verification requise","ok"
"my_account_email_status_verified","Verified","Verifie","ok"
"my_account_email_verification_help","Confirm this email address to receive account messages and recovery links.","Confirme cet e-mail pour recevoir les messages du compte et les liens de recuperation.","ok"
"my_account_email_verification_label","Email verification","Verification de l e-mail","ok"
"my_account_email_verification_missing","Add an email address to enable verification and password recovery.","Ajoutez une adresse e-mail pour activer la verification et la recuperation du mot de passe.","ok"
"my_account_email_verification_ok","Your current email address is verified.","Votre adresse e-mail actuelle est verifiee.","ok"
"my_account_email_verification_pending","Check your inbox and click the confirmation link sent to the pending address.","Consultez votre boite mail et cliquez sur le lien envoye a l adresse en attente.","ok"
"my_account_email_verification_resend","Resend verification email","Renvoyer l e-mail de verification","ok"
"my_account_email_verification_send_error","Unable to send a verification email","Impossible d envoyer l e-mail de verification","ok"
"my_account_email_verification_sent","A verification email has been sent.","Un e-mail de verification a ete envoye.","ok"
"my_account_label_access_expiry","Access expiry","Expiration d acces","ok"
"my_account_label_confirm_password","Confirm new password","Confirmer le nouveau mot de passe","ok"
"my_account_label_discord","Discord handle","Identifiant Discord","ok"
"my_account_label_email","Email address","Adresse e-mail","ok"
"my_account_label_new_password","New password","Nouveau mot de passe","ok"
"my_account_label_preferred_lang","Preferred language","Langue preferee","ok"
"my_account_label_role","Role","Role","untranslated"
"my_account_label_telegram","Telegram handle","Identifiant Telegram","ok"
"my_account_label_user","Username","Nom d utilisateur","ok"
"my_account_load_error","Unable to load your account","Impossible de charger votre compte","ok"
"my_account_no_expiry","No expiry configured","Aucune expiration definie","ok"
"my_account_notify_events","Notify me about account events","Me notifier des evenements du compte","ok"
"my_account_notify_expiry","Notify me before access expires","Me prevenir avant l expiration de l acces","ok"
"my_account_password_help","Change your password. Choose a strong password (min. 8 characters).","Changez votre mot de passe. Choisissez un mot de passe robuste (min. 8 caractères).","ok"
"my_account_password_min_hint","At least 8 characters","Au moins 8 caracteres","ok"
"my_account_password_mismatch","The passwords do not match","Les mots de passe ne correspondent pas","ok"
"my_account_password_too_short","The password must contain at least 8 characters","Le mot de passe doit contenir au moins 8 caracteres","ok"
"my_account_password_update_error","Unable to update the password","Impossible de mettre a jour le mot de passe","ok"
"my_account_password_updated","Password updated","Mot de passe mis a jour","ok"
"my_account_save_error","Unable to save your preferences","Impossible d enregistrer vos preferences","ok"
"my_account_save_preferences","Save preferences","Enregistrer les preferences","ok"
"my_account_saved","Preferences saved","Preferences enregistrees","ok"
"my_account_section_contact","Contact and preferences","Contact et preferences","ok"
"my_account_section_password","Password","Mot de passe","ok"
"my_account_section_profile","Profile summary","Resume du profil","ok"
"my_account_subheading","Keep your contact details, delivery channels, language, and password up to date.","Gardez vos coordonnees, canaux de diffusion, langue et mot de passe a jour.","ok"
"my_account_subtitle","Manage your profile and preferences","Gérez votre profil et vos préférences","ok"
"my_account_update_password","Update password","Mettre a jour le mot de passe","ok"
"nav_automation","Automation","Automatisation","ok"
"nav_dashboard","Dashboard","Tableau de bord","ok"
"nav_invitations","Invitations","Invitations","untranslated"
"nav_logout","Sign out","Se deconnecter","ok"
"nav_logs","Logs","Journaux","ok"
"nav_my_account","My Account","Mon compte","ok"
"nav_settings","Settings","Parametres","ok"
"nav_theme","Theme","Thème","ok"
"nav_users","Users","Utilisateurs","ok"
"password_match","Passwords match","Les mots de passe correspondent","ok"
"password_mismatch","Passwords do not match","Les mots de passe ne correspondent pas","ok"
"password_policy_missing","Missing requirements","Exigences manquantes","ok"
"password_policy_ok","Password rules satisfied","Regles du mot de passe respectees","ok"
"password_rule_at_least","at least {n} characters","au moins {n} caracteres","ok"
"password_rule_at_most","at most {n} characters","au maximum {n} caracteres","ok"
"password_rule_digit","one digit","1 chiffre","ok"
"password_rule_lower","one lowercase letter","1 minuscule","ok"
"password_rule_special","one special character","1 caractere special","ok"
"password_rule_upper","one uppercase letter","1 majuscule","ok"
"password_rules_chars","characters","caracteres","ok"
"password_rules_prefix","Rules:","Regles:","ok"
"reset_new_heading","New password","Nouveau mot de passe","ok"
"reset_new_subheading","Choose a new secure password","Choisissez un nouveau mot de passe securise","ok"
"reset_request_heading","Forgot password","Mot de passe oublie","ok"
"reset_request_subheading","Enter your identifier to receive a reset link","Saisissez votre identifiant pour recevoir un lien de reinitialisation","ok"
"reset_request_submit","Send reset link","Envoyer le lien","ok"
"reset_submit","Reset password","Reinitialiser le mot de passe","ok"
"reset_title","Password Reset","Reinitialisation du mot de passe","ok"
"role_admin","Administrator","Administrateur","ok"
"role_user","User","Utilisateur","ok"
"settings_backup_action_delete","Delete","Supprimer","ok"
"settings_backup_action_export","Export","Exporter","ok"
"settings_backup_action_restore","Restore","Restaurer","ok"
"settings_backup_archives_desc","Restoration is prepared then applied on next JellyGate restart.","La restauration est preparee puis appliquee au prochain redemarrage de JellyGate.","ok"
"settings_backup_archives_title","Available archives","Archives disponibles","ok"
"settings_backup_col_actions","Actions","Actions","untranslated"
"settings_backup_col_archive","Archive","Archive","untranslated"
"settings_backup_col_date","Date","Date","untranslated"
"settings_backup_col_size","Size","Taille","ok"
"settings_backup_create_now","Create backup now","Creer une sauvegarde maintenant","ok"
"settings_backup_created","Backup created","Sauvegarde creee","ok"
"settings_backup_daily_time","Daily execution time","Heure d execution quotidienne","ok"
"settings_backup_delete_confirm_prefix","Delete permanently","Supprimer definitivement","ok"
"settings_backup_delete_error","Delete failed","Echec de la suppression","ok"
"settings_backup_deleted","Backup deleted","Sauvegarde supprimee","ok"
"settings_backup_desc","Configure automatic backups, create manual backups, import archives, and prepare a restoration.","Configurez les sauvegardes automatiques, creez des sauvegardes manuelles, importez des archives et preparez une restauration.","ok"
"settings_backup_enable_auto","Enable automatic backups","Activer les sauvegardes automatiques","ok"
"settings_backup_error","Backup error","Erreur de sauvegarde","ok"
"settings_backup_import_btn","Import","Importer","ok"
"settings_backup_import_desc","Import a ZIP archive into JellyGate for later restoration. Export/Delete actions remain available below.","Importez une archive ZIP dans JellyGate pour une restauration ulterieure. Les actions Exporter et Supprimer restent disponibles ci-dessous.","ok"
"settings_backup_import_error","Import failed","Echec de l import","ok"
"settings_backup_import_title","Import a backup","Importer une sauvegarde","ok"
"settings_backup_imported","Backup imported","Sauvegarde importee","ok"
"settings_backup_list_empty","No backup available.","Aucune sauvegarde disponible.","ok"
"settings_backup_list_load_error","Unable to load backups.","Impossible de charger les sauvegardes.","ok"
"settings_backup_list_pg_unavailable","PostgreSQL mode: SQLite archives are unavailable. Use pg_dump/pg_restore.","Mode PostgreSQL : les archives SQLite ne sont pas disponibles. Utilisez pg_dump et pg_restore.","ok"
"settings_backup_manual_desc","Create an exportable ZIP archive (SQLite DB + settings + templates).","Creez une archive ZIP exportable (base SQLite + parametres + modeles).","ok"
"settings_backup_manual_title","Manual backup","Sauvegarde manuelle","ok"
"settings_backup_pg_mode_desc_1","Native JellyGate ZIP backups (SQLite) are disabled.","Les sauvegardes ZIP natives de JellyGate (SQLite) sont desactivees.","ok"
"settings_backup_pg_mode_desc_2","Use pg_dump and pg_restore for PostgreSQL.","Utilisez pg_dump et pg_restore pour PostgreSQL.","ok"
"settings_backup_pg_mode_title","PostgreSQL mode detected","Mode PostgreSQL detecte","ok"
"settings_backup_pg_not_supported","Action not supported in PostgreSQL mode","Action non prise en charge en mode PostgreSQL","ok"
"settings_backup_pg_plan_unavailable","Local backup scheduler unavailable in PostgreSQL mode (use pg_dump/pg_restore)","Le planificateur local de sauvegarde est indisponible en mode PostgreSQL (utilisez pg_dump et pg_restore)","ok"
"settings_backup_restore_confirm_prefix","Prepare restoration for","Preparer la restauration de","ok"
"settings_backup_restore_confirm_suffix","A restart is required.","Un redemarrage est requis.","ok"
"settings_backup_restore_error","Restore failed","Echec de la restauration","ok"
"settings_backup_restore_ready","Restoration prepared. Restart JellyGate.","Restauration preparee. Redemarrez JellyGate.","ok"
"settings_backup_retention_fixed","Backups kept (fixed)","Sauvegardes conservees (fixe)","ok"
"settings_backup_retention_help","JellyGate automatically keeps the latest 7 backups (including imports).","JellyGate conserve automatiquement les 7 sauvegardes les plus recentes, imports compris.","ok"
"settings_backup_save_schedule","Save backup schedule","Enregistrer la planification des sauvegardes","ok"
"settings_backup_select_zip","Select a .zip file","Selectionner un fichier .zip","ok"
"settings_backup_title","Backups and restoration","Sauvegardes et restauration","ok"
"settings_default_lang","Server default language","Langue par defaut du serveur","ok"
"settings_default_lang_help","Language used when the user has no preference set","Langue utilisee lorsqu un utilisateur n a aucune preference definie","ok"
"settings_default_none","Default (none)","Par defaut (aucun)","ok"
"settings_email_base_desc","This shared shell contains the HTML used by all emails. Simple message content is inserted automatically between these two blocks.","Cette enveloppe commune contient le HTML partage par tous les e-mails. Le contenu simple des messages est insere automatiquement entre ces deux blocs.","ok"
